site_id,municipio,uf,ano,lst_media_celsius,n_observacoes,fonte,colecao_gee,data_extracao
angonap-fortaleza,Fortaleza,CE,2016,31.84,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
angonap-fortaleza,Fortaleza,CE,2017,31.3,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
angonap-fortaleza,Fortaleza,CE,2018,31.58,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
angonap-fortaleza,Fortaleza,CE,2019,31.85,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
angonap-fortaleza,Fortaleza,CE,2020,31.19,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
angonap-fortaleza,Fortaleza,CE,2021,31.71,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
angonap-fortaleza,Fortaleza,CE,2022,30.81,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
angonap-fortaleza,Fortaleza,CE,2023,30.83,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
angonap-fortaleza,Fortaleza,CE,2024,30.27,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
angonap-fortaleza,Fortaleza,CE,2025,28.45,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-hortolandia,Hortolândia,SP,2016,31.23,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-hortolandia,Hortolândia,SP,2017,30.99,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-hortolandia,Hortolândia,SP,2018,31.35,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-hortolandia,Hortolândia,SP,2019,31.62,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-hortolandia,Hortolândia,SP,2020,32.1,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-hortolandia,Hortolândia,SP,2021,32.08,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-hortolandia,Hortolândia,SP,2022,30.41,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-hortolandia,Hortolândia,SP,2023,30.26,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-hortolandia,Hortolândia,SP,2024,30.2,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-hortolandia,Hortolândia,SP,2025,27.41,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-maracanau,Maracanaú,CE,2016,33.87,38,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-maracanau,Maracanaú,CE,2017,32.49,41,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-maracanau,Maracanaú,CE,2018,33.16,38,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-maracanau,Maracanaú,CE,2019,33.09,38,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-maracanau,Maracanaú,CE,2020,32.86,40,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-maracanau,Maracanaú,CE,2021,33.6,41,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-maracanau,Maracanaú,CE,2022,32.03,39,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-maracanau,Maracanaú,CE,2023,31.84,40,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-maracanau,Maracanaú,CE,2024,30.96,39,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-maracanau,Maracanaú,CE,2025,29.42,39,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-osasco,Osasco,SP,2016,28.96,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-osasco,Osasco,SP,2017,28.77,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-osasco,Osasco,SP,2018,28.63,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-osasco,Osasco,SP,2019,29.41,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-osasco,Osasco,SP,2020,29.11,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-osasco,Osasco,SP,2021,28.62,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-osasco,Osasco,SP,2022,27.72,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-osasco,Osasco,SP,2023,28.38,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-osasco,Osasco,SP,2024,27.63,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-osasco,Osasco,SP,2025,24.54,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-sumare,Sumaré,SP,2016,31.18,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-sumare,Sumaré,SP,2017,31.12,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-sumare,Sumaré,SP,2018,31.14,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-sumare,Sumaré,SP,2019,31.59,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-sumare,Sumaré,SP,2020,32.2,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-sumare,Sumaré,SP,2021,32.31,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-sumare,Sumaré,SP,2022,30.56,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-sumare,Sumaré,SP,2023,30.25,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-sumare,Sumaré,SP,2024,30.08,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-sumare,Sumaré,SP,2025,27.48,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-vinhedo,Vinhedo,SP,2016,28.29,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-vinhedo,Vinhedo,SP,2017,28.21,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-vinhedo,Vinhedo,SP,2018,28.3,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-vinhedo,Vinhedo,SP,2019,28.73,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-vinhedo,Vinhedo,SP,2020,29.63,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-vinhedo,Vinhedo,SP,2021,28.72,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-vinhedo,Vinhedo,SP,2022,27.39,41,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-vinhedo,Vinhedo,SP,2023,27.44,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-vinhedo,Vinhedo,SP,2024,27.38,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
ascenty-vinhedo,Vinhedo,SP,2025,24.56,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
clickip-manaus,Manaus,AM,2016,35.42,25,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
clickip-manaus,Manaus,AM,2017,35.08,27,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
clickip-manaus,Manaus,AM,2018,35.79,26,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
clickip-manaus,Manaus,AM,2019,34.58,28,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
clickip-manaus,Manaus,AM,2020,35.41,30,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
clickip-manaus,Manaus,AM,2021,34.14,29,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
clickip-manaus,Manaus,AM,2022,33.79,29,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
clickip-manaus,Manaus,AM,2023,34.65,27,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
clickip-manaus,Manaus,AM,2024,34.21,32,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
clickip-manaus,Manaus,AM,2025,30.12,35,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,2016,27.01,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,2017,26.69,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,2018,26.83,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,2019,27.45,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,2020,26.94,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,2021,26.47,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,2022,25.81,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
