site_id,ano,sensor,resolucao_m,classe_id,classe_nome,area_m2,area_ha,pct_area_valida,pixels_validos,fator_correcao_sensor,modelo_versao,gerado_em,tipo,pareado_com,tier,precisao_coordenada,faixa_serie
angonap-fortaleza,2013,landsat,30,1,vegetacao_densa,10895400.0,1089.54,10.8824,111244,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2013,landsat,30,2,vegetacao_rala,8644500.0,864.45,8.6342,111244,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2013,landsat,30,3,solo_exposto_obras,5750100.0,575.01,5.7432,111244,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2013,landsat,30,4,construida_urbana,20092500.0,2009.25,20.0685,111244,0.8112,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_corrigido_sv20
angonap-fortaleza,2013,landsat,30,5,agua,54737100.0,5473.71,54.6717,111244,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2014,landsat,30,1,vegetacao_densa,10488600.0,1048.86,10.4704,111304,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2014,landsat,30,2,vegetacao_rala,9321300.0,932.13,9.3051,111304,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2014,landsat,30,3,solo_exposto_obras,6030000.0,603.0,6.0196,111304,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2014,landsat,30,4,construida_urbana,19612800.0,1961.28,19.5788,111304,0.8112,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_corrigido_sv20
angonap-fortaleza,2014,landsat,30,5,agua,54720900.0,5472.09,54.6261,111304,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2015,landsat,30,1,vegetacao_densa,10432800.0,1043.28,10.4966,110436,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2015,landsat,30,2,vegetacao_rala,9456300.0,945.63,9.5141,110436,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2015,landsat,30,3,solo_exposto_obras,5035500.0,503.55,5.0663,110436,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
