site_id,pais,tipo,pareado_com,nome,operadora,n_predios_no_campus,lat,lon,buffer_km,ano,ano_inicio_obra,fonte_data_obra,ano_relativo_ao_inicio_obra,fase,dist_tratamento_controle_km,instrumento,resolucao_m,pixels_validos,area_ha_vegetacao_densa,prop_vegetacao_densa,area_ha_vegetacao_rala,prop_vegetacao_rala,area_ha_solo_exposto_obras,prop_solo_exposto_obras,area_ha_construida_urbana,prop_construida_urbana,area_ha_agua,prop_agua
ctrl-us-0011,EUA,controle,us-0011,,,0,39.428946,-84.412113,5,2019,2022,dynamic_world,-3,pre,15,dynamic_world,20,251726,2601.08,0.258325,2980.72,0.296028,90.4,0.008978,4166.4,0.413783,230.44,0.022886
ctrl-us-0011,EUA,controle,us-0011,,,0,39.428946,-84.412113,5,2020,2022,dynamic_world,-2,pre,15,dynamic_world,20,251726,2601.36,0.258352,2882.12,0.286236,55.12,0.005474,4290.16,0.426074,240.28,0.023863
ctrl-us-0011,EUA,controle,us-0011,,,0,39.428946,-84.412113,5,2021,2022,dynamic_world,-1,pre,15,dynamic_world,20,251726,2602.24,0.25844,2800.4,0.27812,72.32,0.007182,4355.8,0.432593,238.28,0.023665
ctrl-us-0011,EUA,controle,us-0011,,,0,39.428946,-84.412113,5,2022,2022,dynamic_world,0,durante,15,dynamic_world,20,251727,2373.6,0.235732,2930.2,0.29101,80.08,0.007953,4451.68,0.442114,233.52,0.023192
ctrl-us-0011,EUA,controle,us-0011,,,0,39.428946,-84.412113,5,2023,2022,dynamic_world,1,durante,15,dynamic_world,20,251726,2206.16,0.219103,2879.52,0.285978,68.32,0.006785,4676.92,0.464485,238.12,0.023649
ctrl-us-0011,EUA,controle,us-0011,,,0,39.428946,-84.412113,5,2024,2022,dynamic_world,2,pos,15,dynamic_world,20,251726,2511.08,0.249386,2712.24,0.269364,61.0,0.006058,4570.04,0.45387,214.68,0.021321
ctrl-us-0011,EUA,controle,us-0011,,,0,39.428946,-84.412113,5,2025,2022,dynamic_world,3,pos,15,dynamic_world,20,251727,2915.48,0.289548,2547.04,0.252957,70.88,0.007039,4327.84,0.429815,207.84,0.020641
us-0011,EUA,tratamento,,,,1,39.294048,-84.412113,5,2019,2022,dynamic_world,-3,pre,15,dynamic_world,20,251242,2011.32,0.200138,546.12,0.054342,110.4,0.010985,7268.2,0.723227,113.64,0.011308
us-0011,EUA,tratamento,,,,1,39.294048,-84.412113,5,2020,2022,dynamic_world,-2,pre,15,dynamic_world,20,251239,2029.16,0.201915,549.6,0.054689,93.56,0.00931,7259.68,0.722388,117.56,0.011698
us-0011,EUA,tratamento,,,,1,39.294048,-84.412113,5,2021,2022,dynamic_world,-1,pre,15,dynamic_world,20,251241,1864.84,0.185563,555.88,0.055313,84.6,0.008418,7425.68,0.7389,118.64,0.011805
us-0011,EUA,tratamento,,,,1,39.294048,-84.412113,5,2022,2022,dynamic_world,0,durante,15,dynamic_world,20,251241,1747.84,0.173921,571.92,0.05691,83.48,0.008307,7525.0,0.748783,121.4,0.01208
us-0011,EUA,tratamento,,,,1,39.294048,-84.412113,5,2023,2022,dynamic_world,1,durante,15,dynamic_world,20,251240,1489.68,0.148233,548.4,0.054569,70.64,0.007029,7815.88,0.77773,125.0,0.012438
us-0011,EUA,tratamento,,,,1,39.294048,-84.412113,5,2024,2022,dynamic_world,2,pos,15,dynamic_world,20,251239,1914.64,0.19052,500.28,0.049781,86.2,0.008577,7439.72,0.740303,108.72,0.010818
us-0011,EUA,tratamento,,,,1,39.294048,-84.412113,5,2025,2022,dynamic_world,3,pos,15,dynamic_world,20,251240,2363.68,0.235201,443.64,0.044145,94.4,0.009393,7044.32,0.700955,103.56,0.010305
ctrl-us-0062,EUA,controle,us-0062,,,0,41.704268,-88.116694,5,2019,2022,dynamic_world,-3,pre,15,dynamic_world,20,260433,1590.0,0.15263,968.88,0.093007,267.04,0.025634,7189.12,0.690112,402.28,0.038616
ctrl-us-0062,EUA,controle,us-0062,,,0,41.704268,-88.116694,5,2020,2022,dynamic_world,-2,pre,15,dynamic_world,20,260433,1504.36,0.14441,1046.96,0.100502,254.76,0.024455,7241.0,0.695092,370.24,0.035541
ctrl-us-0062,EUA,controle,us-0062,,,0,41.704268,-88.116694,5,2021,2022,dynamic_world,-1,pre,15,dynamic_world,20,260433,1351.68,0.129753,1088.84,0.104522,301.2,0.028913,7287.72,0.699577,387.88,0.037234
ctrl-us-0062,EUA,controle,us-0062,,,0,41.704268,-88.116694,5,2022,2022,dynamic_world,0,durante,15,dynamic_world,20,260432,1404.08,0.134784,1002.92,0.096275,281.0,0.026974,7350.68,0.705624,378.6,0.036343
ctrl-us-0062,EUA,controle,us-0062,,,0,41.704268,-88.116694,5,2023,2022,dynamic_world,1,durante,15,dynamic_world,20,260433,1631.56,0.15662,777.8,0.074664,258.88,0.024851,7373.56,0.707817,375.52,0.036048
ctrl-us-0062,EUA,controle,us-0062,,,0,41.704268,-88.116694,5,2024,2022,dynamic_world,2,pos,15,dynamic_world,20,260434,1498.08,0.143806,940.4,0.090272,221.08,0.021222,7409.52,0.711267,348.28,0.033433
ctrl-us-0062,EUA,controle,us-0062,,,0,41.704268,-88.116694,5,2025,2022,dynamic_world,3,pos,15,dynamic_world,20,260433,1916.8,0.184001,732.08,0.070275,251.52,0.024144,7185.16,0.689732,331.76,0.031847
us-0062,EUA,tratamento,,CyrusOne CHI3,CyrusOne,5,41.799726,-88.244459,5,2019,2022,dynamic_world,-3,pre,15,dynamic_world,20,260821,2123.52,0.203542,1598.44,0.153212,173.52,0.016632,5941.64,0.569513,595.72,0.0571
us-0062,EUA,tratamento,,CyrusOne CHI3,CyrusOne,5,41.799726,-88.244459,5,2020,2022,dynamic_world,-2,pre,15,dynamic_world,20,260821,1862.76,0.178548,1601.96,0.15355,101.68,0.009746,6314.36,0.605239,552.08,0.052918
us-0062,EUA,tratamento,,CyrusOne CHI3,CyrusOne,5,41.799726,-88.244459,5,2021,2022,dynamic_world,-1,pre,15,dynamic_world,20,260821,1748.68,0.167613,1792.8,0.171842,132.0,0.012652,6189.28,0.59325,570.08,0.054643
us-0062,EUA,tratamento,,CyrusOne CHI3,CyrusOne,5,41.799726,-88.244459,5,2022,2022,dynamic_world,0,durante,15,dynamic_world,20,260821,1619.72,0.155252,1894.24,0.181565,106.96,0.010252,6265.84,0.600588,546.08,0.052342
us-0062,EUA,tratamento,,CyrusOne CHI3,CyrusOne,5,41.799726,-88.244459,5,2023,2022,dynamic_world,1,durante,15,dynamic_world,20,260821,2232.92,0.214028,1297.12,0.12433,164.16,0.015735,6198.2,0.594105,540.44,0.051802
us-0062,EUA,tratamento,,CyrusOne CHI3,CyrusOne,5,41.799726,-88.244459,5,2024,2022,dynamic_world,2,pos,15,dynamic_world,20,260821,2184.72,0.209408,1380.72,0.132344,102.48,0.009823,6283.04,0.602237,481.88,0.046189
us-0062,EUA,tratamento,,CyrusOne CHI3,CyrusOne,5,41.799726,-88.244459,5,2025,2022,dynamic_world,3,pos,15,dynamic_world,20,260821,2626.92,0.251793,1129.0,0.108216,131.48,0.012603,6105.4,0.58521,440.04,0.042178
ctrl-us-0116,EUA,controle,us-0116,,,0,45.690085,-122.922765,5,2018,2021,dynamic_world,-3,pre,15,dynamic_world,20,278348,9746.8,0.875415,1022.52,0.091838,0.08,7e-06,204.84,0.018398,159.68,0.014342
ctrl-us-0116,EUA,controle,us-0116,,,0,45.690085,-122.922765,5,2019,2021,dynamic_world,-2,pre,15,dynamic_world,20,278347,9759.4,0.87655,991.76,0.089076,0.68,6.1e-05,206.04,0.018506,176.0,0.015808
ctrl-us-0116,EUA,controle,us-0116,,,0,45.690085,-122.922765,5,2020,2021,dynamic_world,-1,pre,15,dynamic_world,20,278349,9868.56,0.886348,917.6,0.082415,1.68,0.000151,189.84,0.017051,156.28,0.014036
ctrl-us-0116,EUA,controle,us-0116,,,0,45.690085,-122.922765,5,2021,2021,dynamic_world,0,durante,15,dynamic_world,20,278348,9798.48,0.880057,957.48,0.085997,1.64,0.000147,212.16,0.019055,164.16,0.014744
ctrl-us-0116,EUA,controle,us-0116,,,0,45.690085,-122.922765,5,2022,2021,dynamic_world,1,durante,15,dynamic_world,20,278347,9818.44,0.881853,973.92,0.087474,0.32,2.9e-05,187.52,0.016842,153.68,0.013803
ctrl-us-0116,EUA,controle,us-0116,,,0,45.690085,-122.922765,5,2023,2021,dynamic_world,2,pos,15,dynamic_world,20,278348,9739.92,0.874797,1007.0,0.090444,1.04,9.3e-05,227.32,0.020417,158.64,0.014248
ctrl-us-0116,EUA,controle,us-0116,,,0,45.690085,-122.922765,5,2024,2021,dynamic_world,3,pos,15,dynamic_world,20,278348,9869.12,0.886401,911.04,0.081826,0.72,6.5e-05,196.72,0.017669,156.32,0.01404
us-0116,EUA,tratamento,,NTT RagingWire DC - Hillsboro,NTT,31,45.555186,-122.922765,5,2018,2021,dynamic_world,-3,pre,15,dynamic_world,20,277678,1276.32,0.11491,4438.52,0.39961,26.12,0.002352,5313.8,0.478414,52.36,0.004714
us-0116,EUA,tratamento,,NTT RagingWire DC - Hillsboro,NTT,31,45.555186,-122.922765,5,2019,2021,dynamic_world,-2,pre,15,dynamic_world,20,277679,1325.4,0.119328,4353.32,0.391938,22.28,0.002006,5368.16,0.483306,38.0,0.003421
us-0116,EUA,tratamento,,NTT RagingWire DC - Hillsboro,NTT,31,45.555186,-122.922765,5,2020,2021,dynamic_world,-1,pre,15,dynamic_world,20,277678,1325.6,0.119347,4338.72,0.390625,27.08,0.002438,5367.92,0.483286,47.8,0.004304
us-0116,EUA,tratamento,,NTT RagingWire DC - Hillsboro,NTT,31,45.555186,-122.922765,5,2021,2021,dynamic_world,0,durante,15,dynamic_world,20,277679,1224.88,0.110278,4312.36,0.38825,35.8,0.003223,5490.2,0.494294,43.92,0.003954
us-0116,EUA,tratamento,,NTT RagingWire DC - Hillsboro,NTT,31,45.555186,-122.922765,5,2022,2021,dynamic_world,1,durante,15,dynamic_world,20,277678,1351.64,0.121691,4174.52,0.375842,26.96,0.002427,5513.32,0.496377,40.68,0.003663
us-0116,EUA,tratamento,,NTT RagingWire DC - Hillsboro,NTT,31,45.555186,-122.922765,5,2023,2021,dynamic_world,2,pos,15,dynamic_world,20,277678,1211.04,0.109033,4251.68,0.382789,19.56,0.001761,5586.0,0.502921,38.84,0.003497
us-0116,EUA,tratamento,,NTT RagingWire DC - Hillsboro,NTT,31,45.555186,-122.922765,5,2024,2021,dynamic_world,3,pos,15,dynamic_world,20,277678,1258.16,0.113275,4225.24,0.380408,10.2,0.000918,5585.56,0.502881,27.96,0.002517
ctrl-us-0182,EUA,controle,us-0182,,,0,47.540161,-120.206709,5,2016,2019,dynamic_world,-3,pre,15,dynamic_world,20,288022,660.28,0.057312,10099.92,0.876662,128.44,0.011148,212.6,0.018453,419.64,0.036424
ctrl-us-0182,EUA,controle,us-0182,,,0,47.540161,-120.206709,5,2017,2019,dynamic_world,-2,pre,15,dynamic_world,20,288024,845.48,0.073386,10001.76,0.868136,58.92,0.005114,201.64,0.017502,413.16,0.035862
ctrl-us-0182,EUA,controle,us-0182,,,0,47.540161,-120.206709,5,2018,2019,dynamic_world,-1,pre,15,dynamic_world,20,288024,775.2,0.067286,10021.92,0.869886,73.24,0.006357,229.04,0.01988,421.56,0.036591
ctrl-us-0182,EUA,controle,us-0182,,,0,47.540161,-120.206709,5,2019,2019,dynamic_world,0,durante,15,dynamic_world,20,288023,753.0,0.065359,10062.6,0.87342,32.68,0.002837,258.04,0.022398,414.6,0.035987
ctrl-us-0182,EUA,controle,us-0182,,,0,47.540161,-120.206709,5,2020,2019,dynamic_world,1,durante,15,dynamic_world,20,288023,590.0,0.051211,10069.72,0.874038,181.32,0.015738,254.04,0.02205,425.84,0.036962
ctrl-us-0182,EUA,controle,us-0182,,,0,47.540161,-120.206709,5,2021,2019,dynamic_world,2,pos,15,dynamic_world,20,288024,631.6,0.054822,10104.4,0.877045,74.32,0.006451,277.08,0.02405,433.56,0.037632
ctrl-us-0182,EUA,controle,us-0182,,,0,47.540161,-120.206709,5,2022,2019,dynamic_world,3,pos,15,dynamic_world,20,288024,792.6,0.068796,9983.44,0.866546,69.12,0.006,260.16,0.022581,415.64,0.036077
us-0182,EUA,tratamento,,Intergate Columbia B,Sabey Data Centers,13,47.405263,-120.206709,5,2016,2019,dynamic_world,-3,pre,15,dynamic_world,20,287285,427.52,0.037203,7173.16,0.62422,333.96,0.029062,3030.16,0.263689,526.6,0.045826
us-0182,EUA,tratamento,,Intergate Columbia B,Sabey Data Centers,13,47.405263,-120.206709,5,2017,2019,dynamic_world,-2,pre,15,dynamic_world,20,287284,643.96,0.056039,7063.68,0.614695,332.48,0.028933,2926.2,0.254643,525.04,0.04569
us-0182,EUA,tratamento,,Intergate Columbia B,Sabey Data Centers,13,47.405263,-120.206709,5,2018,2019,dynamic_world,-1,pre,15,dynamic_world,20,287285,361.84,0.031488,7081.8,0.61627,525.88,0.045763,2995.48,0.260671,526.4,0.045808
us-0182,EUA,tratamento,,Intergate Columbia B,Sabey Data Centers,13,47.405263,-120.206709,5,2019,2019,dynamic_world,0,durante,15,dynamic_world,20,287285,254.48,0.022145,7223.6,0.628609,349.56,0.030419,3141.04,0.273338,522.72,0.045488
us-0182,EUA,tratamento,,Intergate Columbia B,Sabey Data Centers,13,47.405263,-120.206709,5,2020,2019,dynamic_world,1,durante,15,dynamic_world,20,287286,322.32,0.028049,6549.84,0.569976,985.52,0.085761,3112.32,0.270838,521.44,0.045376
us-0182,EUA,tratamento,,Intergate Columbia B,Sabey Data Centers,13,47.405263,-120.206709,5,2021,2019,dynamic_world,2,pos,15,dynamic_world,20,287284,294.08,0.025591,6848.2,0.595943,515.12,0.044827,3315.68,0.288537,518.28,0.045102
us-0182,EUA,tratamento,,Intergate Columbia B,Sabey Data Centers,13,47.405263,-120.206709,5,2022,2019,dynamic_world,3,pos,15,dynamic_world,20,287285,304.92,0.026535,6860.56,0.597017,520.88,0.045328,3279.88,0.28542,525.16,0.0457
ctrl-us-0254,EUA,controle,us-0254,,,0,45.984533,-119.625039,5,2017,2020,dynamic_world,-3,pre,15,dynamic_world,20,279824,135.04,0.012065,10646.88,0.951212,245.2,0.021907,126.76,0.011325,39.08,0.003491
ctrl-us-0254,EUA,controle,us-0254,,,0,45.984533,-119.625039,5,2018,2020,dynamic_world,-2,pre,15,dynamic_world,20,279825,68.36,0.006107,10799.2,0.964817,168.72,0.015074,123.72,0.011053,33.0,0.002948
ctrl-us-0254,EUA,controle,us-0254,,,0,45.984533,-119.625039,5,2019,2020,dynamic_world,-1,pre,15,dynamic_world,20,279825,52.72,0.00471,10888.96,0.972837,82.96,0.007412,131.56,0.011754,36.8,0.003288
ctrl-us-0254,EUA,controle,us-0254,,,0,45.984533,-119.625039,5,2020,2020,dynamic_world,0,durante,15,dynamic_world,20,279826,34.52,0.003084,10811.52,0.965915,192.48,0.017196,120.08,0.010728,34.44,0.003077
ctrl-us-0254,EUA,controle,us-0254,,,0,45.984533,-119.625039,5,2021,2020,dynamic_world,1,durante,15,dynamic_world,20,279824,76.12,0.006801,10785.08,0.963559,162.32,0.014502,135.4,0.012097,34.04,0.003041
ctrl-us-0254,EUA,controle,us-0254,,,0,45.984533,-119.625039,5,2022,2020,dynamic_world,2,pos,15,dynamic_world,20,279825,358.32,0.032013,10631.8,0.949862,40.0,0.003574,131.28,0.011729,31.6,0.002823
ctrl-us-0254,EUA,controle,us-0254,,,0,45.984533,-119.625039,5,2023,2020,dynamic_world,3,pos,15,dynamic_world,20,279824,276.4,0.024694,10653.48,0.951802,97.0,0.008666,137.04,0.012243,29.04,0.002594
us-0254,EUA,tratamento,,Amazon Web Services,Amazon Web Services,24,45.849635,-119.625039,5,2017,2020,dynamic_world,-3,pre,15,dynamic_world,20,279145,332.68,0.029795,7558.16,0.676903,207.8,0.01861,916.56,0.082086,2150.6,0.192606
us-0254,EUA,tratamento,,Amazon Web Services,Amazon Web Services,24,45.849635,-119.625039,5,2018,2020,dynamic_world,-2,pre,15,dynamic_world,20,279144,194.08,0.017382,7544.56,0.675687,344.36,0.030841,927.52,0.083068,2155.24,0.193022
us-0254,EUA,tratamento,,Amazon Web Services,Amazon Web Services,24,45.849635,-119.625039,5,2019,2020,dynamic_world,-1,pre,15,dynamic_world,20,279145,192.32,0.017224,7608.04,0.68137,259.68,0.023257,944.92,0.084626,2160.84,0.193523
us-0254,EUA,tratamento,,Amazon Web Services,Amazon Web Services,24,45.849635,-119.625039,5,2020,2020,dynamic_world,0,durante,15,dynamic_world,20,279145,192.56,0.017246,7383.44,0.661255,515.52,0.04617,909.04,0.081413,2165.24,0.193917
us-0254,EUA,tratamento,,Amazon Web Services,Amazon Web Services,24,45.849635,-119.625039,5,2021,2020,dynamic_world,1,durante,15,dynamic_world,20,279144,165.36,0.01481,7354.64,0.658678,480.2,0.043006,998.2,0.089398,2167.36,0.194108
us-0254,EUA,tratamento,,Amazon Web Services,Amazon Web Services,24,45.849635,-119.625039,5,2022,2020,dynamic_world,2,pos,15,dynamic_world,20,279145,192.56,0.017246,7345.28,0.657837,442.4,0.039621,1031.12,0.092346,2154.44,0.19295
us-0254,EUA,tratamento,,Amazon Web Services,Amazon Web Services,24,45.849635,-119.625039,5,2023,2020,dynamic_world,3,pos,15,dynamic_world,20,279146,146.2,0.013094,7216.32,0.646285,517.76,0.04637,1124.44,0.100704,2161.12,0.193547
ctrl-us-0260,EUA,controle,us-0260,,,0,35.048889,-85.747239,5,2018,2021,dynamic_world,-3,pre,15,dynamic_world,20,237506,8303.48,0.874028,939.4,0.098882,3.64,0.000383,203.84,0.021456,49.88,0.00525
ctrl-us-0260,EUA,controle,us-0260,,,0,35.048889,-85.747239,5,2019,2021,dynamic_world,-2,pre,15,dynamic_world,20,237506,8362.08,0.880197,889.08,0.093585,5.08,0.000535,199.88,0.021039,44.12,0.004644
ctrl-us-0260,EUA,controle,us-0260,,,0,35.048889,-85.747239,5,2020,2021,dynamic_world,-1,pre,15,dynamic_world,20,237505,8328.96,0.876714,923.68,0.097227,4.68,0.000493,197.96,0.020837,44.92,0.004728
ctrl-us-0260,EUA,controle,us-0260,,,0,35.048889,-85.747239,5,2021,2021,dynamic_world,0,durante,15,dynamic_world,20,237506,7973.2,0.839263,1227.24,0.12918,8.32,0.000876,229.52,0.024159,61.96,0.006522
ctrl-us-0260,EUA,controle,us-0260,,,0,35.048889,-85.747239,5,2022,2021,dynamic_world,1,durante,15,dynamic_world,20,237505,8307.72,0.874478,911.4,0.095935,6.32,0.000665,225.24,0.023709,49.52,0.005213
ctrl-us-0260,EUA,controle,us-0260,,,0,35.048889,-85.747239,5,2023,2021,dynamic_world,2,pos,15,dynamic_world,20,237505,8165.8,0.85954,1017.08,0.107059,19.32,0.002034,229.28,0.024134,68.72,0.007234
ctrl-us-0260,EUA,controle,us-0260,,,0,35.048889,-85.747239,5,2024,2021,dynamic_world,3,pos,15,dynamic_world,20,237506,8307.88,0.874492,929.84,0.097875,3.92,0.000413,215.2,0.022652,43.4,0.004568
us-0260,EUA,tratamento,,Google Jackson County Data Center,Google LLC,3,34.913991,-85.747239,5,2018,2021,dynamic_world,-3,pre,15,dynamic_world,20,237114,5744.12,0.605629,2213.68,0.233398,166.96,0.017603,631.88,0.066622,727.92,0.076748
us-0260,EUA,tratamento,,Google Jackson County Data Center,Google LLC,3,34.913991,-85.747239,5,2019,2021,dynamic_world,-2,pre,15,dynamic_world,20,237115,5707.96,0.601813,2296.2,0.242098,65.72,0.006929,732.68,0.077249,682.04,0.07191
us-0260,EUA,tratamento,,Google Jackson County Data Center,Google LLC,3,34.913991,-85.747239,5,2020,2021,dynamic_world,-1,pre,15,dynamic_world,20,237115,5808.44,0.612407,2249.68,0.237193,45.4,0.004787,685.6,0.072286,695.48,0.073327
us-0260,EUA,tratamento,,Google Jackson County Data Center,Google LLC,3,34.913991,-85.747239,5,2021,2021,dynamic_world,0,durante,15,dynamic_world,20,237114,5562.72,0.586503,2409.04,0.253996,26.88,0.002834,737.92,0.077802,748.0,0.078865
us-0260,EUA,tratamento,,Google Jackson County Data Center,Google LLC,3,34.913991,-85.747239,5,2022,2021,dynamic_world,1,durante,15,dynamic_world,20,237113,5876.6,0.619599,2249.24,0.237149,30.16,0.00318,641.16,0.067601,687.36,0.072472
us-0260,EUA,tratamento,,Google Jackson County Data Center,Google LLC,3,34.913991,-85.747239,5,2023,2021,dynamic_world,2,pos,15,dynamic_world,20,237115,5619.28,0.592464,2366.96,0.249558,40.4,0.00426,703.72,0.074196,754.24,0.079523
us-0260,EUA,tratamento,,Google Jackson County Data Center,Google LLC,3,34.913991,-85.747239,5,2024,2021,dynamic_world,3,pos,15,dynamic_world,20,237114,5793.32,0.610816,2341.88,0.246915,38.12,0.004019,638.0,0.067267,673.24,0.070983
ctrl-us-0294,EUA,controle,us-0294,,,0,41.449017,-93.553945,5,2016,2019,dynamic_world,-3,pre,15,dynamic_world,20,259406,3647.24,0.351499,6199.12,0.597434,3.92,0.000378,343.96,0.033149,182.0,0.01754
ctrl-us-0294,EUA,controle,us-0294,,,0,41.449017,-93.553945,5,2017,2019,dynamic_world,-2,pre,15,dynamic_world,20,259408,3562.32,0.343312,6172.12,0.594827,18.48,0.001781,446.52,0.043033,176.88,0.017047
ctrl-us-0294,EUA,controle,us-0294,,,0,41.449017,-93.553945,5,2018,2019,dynamic_world,-1,pre,15,dynamic_world,20,259406,3400.44,0.327714,6254.6,0.602781,16.92,0.001631,463.84,0.044702,240.44,0.023172
ctrl-us-0294,EUA,controle,us-0294,,,0,41.449017,-93.553945,5,2019,2019,dynamic_world,0,durante,15,dynamic_world,20,259407,3793.28,0.365572,5940.0,0.572459,4.24,0.000409,375.64,0.036202,263.12,0.025358
ctrl-us-0294,EUA,controle,us-0294,,,0,41.449017,-93.553945,5,2020,2019,dynamic_world,1,durante,15,dynamic_world,20,259408,3472.8,0.334685,6227.44,0.600159,6.88,0.000663,533.12,0.051379,136.08,0.013114
ctrl-us-0294,EUA,controle,us-0294,,,0,41.449017,-93.553945,5,2021,2019,dynamic_world,2,pos,15,dynamic_world,20,259407,3683.68,0.35501,6052.48,0.5833,3.68,0.000355,532.44,0.051313,104.0,0.010023
ctrl-us-0294,EUA,controle,us-0294,,,0,41.449017,-93.553945,5,2022,2019,dynamic_world,3,pos,15,dynamic_world,20,259407,3556.52,0.342755,6199.84,0.597501,3.16,0.000305,525.96,0.050689,90.8,0.008751
us-0294,EUA,tratamento,,Microsoft,Microsoft,12,41.516572,-93.709807,5,2016,2019,dynamic_world,-3,pre,15,dynamic_world,20,259676,2888.16,0.278054,5315.72,0.511765,144.56,0.013917,1456.08,0.140182,582.52,0.056081
us-0294,EUA,tratamento,,Microsoft,Microsoft,12,41.516572,-93.709807,5,2017,2019,dynamic_world,-2,pre,15,dynamic_world,20,259677,2614.88,0.251744,5340.52,0.51415,131.32,0.012643,1729.24,0.16648,571.12,0.054984
us-0294,EUA,tratamento,,Microsoft,Microsoft,12,41.516572,-93.709807,5,2018,2019,dynamic_world,-1,pre,15,dynamic_world,20,259675,2619.84,0.252223,5301.6,0.510407,125.84,0.012115,1756.92,0.169146,582.8,0.056109
us-0294,EUA,tratamento,,Microsoft,Microsoft,12,41.516572,-93.709807,5,2019,2019,dynamic_world,0,durante,15,dynamic_world,20,259676,2789.2,0.268527,5155.8,0.496369,111.32,0.010717,1731.44,0.166692,599.28,0.057695
us-0294,EUA,tratamento,,Microsoft,Microsoft,12,41.516572,-93.709807,5,2020,2019,dynamic_world,1,durante,15,dynamic_world,20,259678,2529.72,0.243544,5260.76,0.50647,128.72,0.012392,1895.36,0.182472,572.56,0.055122
us-0294,EUA,tratamento,,Microsoft,Microsoft,12,41.516572,-93.709807,5,2021,2019,dynamic_world,2,pos,15,dynamic_world,20,259676,2853.16,0.274685,4882.16,0.470024,130.36,0.01255,1982.68,0.19088,538.68,0.051861
us-0294,EUA,tratamento,,Microsoft,Microsoft,12,41.516572,-93.709807,5,2022,2019,dynamic_world,3,pos,15,dynamic_world,20,259676,2519.0,0.242514,5116.56,0.492591,133.6,0.012862,2059.96,0.19832,557.92,0.053713
ctrl-us-0299,EUA,controle,us-0299,,,0,33.404671,-86.749972,5,2018,2021,dynamic_world,-3,pre,15,dynamic_world,20,232913,5102.2,0.547651,199.16,0.021377,46.12,0.00495,3804.24,0.408333,164.8,0.017689
ctrl-us-0299,EUA,controle,us-0299,,,0,33.404671,-86.749972,5,2019,2021,dynamic_world,-2,pre,15,dynamic_world,20,232913,5203.28,0.5585,180.04,0.019325,44.88,0.004817,3729.04,0.400261,159.28,0.017097
ctrl-us-0299,EUA,controle,us-0299,,,0,33.404671,-86.749972,5,2020,2021,dynamic_world,-1,pre,15,dynamic_world,20,232914,5277.68,0.566484,187.08,0.02008,38.2,0.0041,3653.48,0.392149,160.12,0.017187
ctrl-us-0299,EUA,controle,us-0299,,,0,33.404671,-86.749972,5,2021,2021,dynamic_world,0,durante,15,dynamic_world,20,232913,5409.12,0.580594,192.92,0.020707,39.24,0.004212,3513.52,0.377128,161.72,0.017358
