site_id,pais,tipo,pareado_com,nome,operadora,lat,lon,buffer_km,ano,ano_inicio_obra,fonte_data_obra,ano_relativo_ao_inicio_obra,fase,dist_tratamento_controle_km,instrumento,resolucao_m,pixels_validos,area_ha_vegetacao_densa,area_ha_vegetacao_rala,area_ha_solo_exposto_obras,area_ha_construida_urbana,area_ha_agua,prop_vegetacao_densa,prop_vegetacao_rala,prop_solo_exposto_obras,prop_construida_urbana,prop_agua,municipio,uf,codigo_ibge,n_predios_no_campus,lst_media_celsius,populacao,populacao_buffer_5km,pib_mil_reais,tier,regiao,bioma,qualidade_par,l1_rf
ctrl-angonap-fortaleza-p01,BR,controle,angonap-fortaleza,,,-3.697276,-38.601757,5,2014,2017,declarada_datacentermap,-3,pre,16,rf_v1.0-tuned,30,111538,1468.8,782.91,115.74,2919.87,4751.1,0.146318,0.077991,0.01153,0.290869,0.473292,Caucaia,CE,2303709,0,30.8664,,171517,5582491.0,1.0,Nordeste,Caatinga,aceitavel,0.157896
ctrl-angonap-fortaleza-p01,BR,controle,angonap-fortaleza,,,-3.697276,-38.601757,5,2015,2017,declarada_datacentermap,-2,pre,16,rf_v1.0-tuned,30,111358,1278.09,903.24,112.59,2999.07,4729.23,0.127526,0.090124,0.011234,0.299242,0.471874,Caucaia,CE,2303709,0,30.4603,,171517,5743008.0,1.0,Nordeste,Caatinga,aceitavel,0.157896
ctrl-angonap-fortaleza-p01,BR,controle,angonap-fortaleza,,,-3.697276,-38.601757,5,2016,2017,declarada_datacentermap,-1,pre,16,rf_v1.0-tuned,30,111508,1193.94,952.65,94.5,3045.78,4748.85,0.118969,0.094926,0.009416,0.303494,0.473195,Caucaia,CE,2303709,0,31.0379,358164.0,171517,5443796.0,1.0,Nordeste,Caatinga,aceitavel,0.157896
ctrl-angonap-fortaleza-p01,BR,controle,angonap-fortaleza,,,-3.697276,-38.601757,5,2017,2017,declarada_datacentermap,0,durante,16,rf_v1.0-tuned,30,111528,1314.99,857.43,86.76,3013.83,4764.51,0.131007,0.085422,0.008644,0.300256,0.47467,Caucaia,CE,2303709,0,30.1446,362223.0,171517,5862516.0,1.0,Nordeste,Caatinga,aceitavel,0.157896
ctrl-angonap-fortaleza-p01,BR,controle,angonap-fortaleza,,,-3.697276,-38.601757,5,2018,2017,declarada_datacentermap,1,durante,16,rf_v1.0-tuned,30,111620,1451.34,840.87,97.38,2917.8,4738.41,0.144472,0.083704,0.009694,0.29045,0.471681,Caucaia,CE,2303709,0,30.7043,363982.0,171517,5069517.0,1.0,Nordeste,Caatinga,aceitavel,0.157896
ctrl-angonap-fortaleza-p01,BR,controle,angonap-fortaleza,,,-3.697276,-38.601757,5,2019,2017,declarada_datacentermap,2,durante,16,rf_v1.0-tuned,30,111602,1655.91,877.77,86.58,2688.3,4735.62,0.164863,0.087391,0.00862,0.267648,0.471479,Caucaia,CE,2303709,0,30.5874,361400.0,171517,6915884.0,1.0,Nordeste,Caatinga,aceitavel,0.157896
ctrl-angonap-fortaleza-p01,BR,controle,angonap-fortaleza,,,-3.697276,-38.601757,5,2020,2017,declarada_datacentermap,3,pos,16,rf_v1.0-tuned,30,111550,1670.85,734.31,88.56,2831.04,4714.74,0.166428,0.073142,0.008821,0.28199,0.469619,Caucaia,CE,2303709,0,30.1777,365212.0,171517,7171082.0,1.0,Nordeste,Caatinga,aceitavel,0.157896
angonap-fortaleza,BR,tratamento,angonap-fortaleza,,,-3.734736,-38.462636,5,2014,2017,declarada_datacentermap,-3,pre,16,rf_v1.0-tuned,30,111304,587.43,941.49,256.32,2837.07,5395.05,0.058641,0.093986,0.025588,0.283215,0.53857,Fortaleza,CE,2304400,0,31.5483,,254256,56116644.0,1.0,Nordeste,Caatinga,aceitavel,0.157896
angonap-fortaleza,BR,tratamento,angonap-fortaleza,,,-3.734736,-38.462636,5,2015,2017,declarada_datacentermap,-2,pre,16,rf_v1.0-tuned,30,110436,533.52,984.06,217.8,2808.9,5394.96,0.053678,0.099008,0.021913,0.282607,0.542794,Fortaleza,CE,2304400,0,31.2092,,254256,57211200.0,1.0,Nordeste,Caatinga,aceitavel,0.157896
angonap-fortaleza,BR,tratamento,angonap-fortaleza,,,-3.734736,-38.462636,5,2016,2017,declarada_datacentermap,-1,pre,16,rf_v1.0-tuned,30,111084,534.78,962.82,225.99,2899.53,5374.44,0.053491,0.096305,0.022605,0.290024,0.537575,Fortaleza,CE,2304400,0,31.8431,2609716.0,254256,60088001.0,1.0,Nordeste,Caatinga,aceitavel,0.157896
