site_id,tipo,pareado_com,ids_datacenter,n_predios_no_campus,municipio,uf,codigo_ibge,lat,lon,buffer_km,ano,ano_inicio_obra,ano_fim_obra,ano_relativo_ao_inicio_obra,fase,l1_rf,qualidade_par,dist_tratamento_controle_km,municipio_compartilhado_com_par,sensor,resolucao_m,pixels_validos,modelo_versao,area_ha_vegetacao_densa,area_ha_vegetacao_rala,area_ha_solo_exposto_obras,area_ha_construida_urbana,area_ha_agua,prop_vegetacao_densa,prop_vegetacao_rala,prop_solo_exposto_obras,prop_construida_urbana,prop_agua,lst_media_celsius,lst_mediana_celsius,lst_desvio_celsius,lst_n_cenas,populacao,populacao_tipo_estimativa,emprego_formal_total,pessoal_ocupado_total,numero_empresas,pib_mil_reais,regiao,bioma,tier,mw_construido_total,whitespace_construido_sqm_total,tier_projetado_max,n_predios_datacentermap
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,,0,Caucaia,CE,2303709,-3.697276,-38.601757,5,2014,2017,2019,-3,pre,0.157896,aceitavel,16,False,landsat,30,111538,rf_v1.0-tuned,1468.8,782.91,115.74,2919.87,4751.1,0.146318,0.077991,0.01153,0.290869,0.473292,30.8664,31.4947,2.8016,44,,,41442.0,45566.0,3417.0,5582491.0,,,,,,,
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,,0,Caucaia,CE,2303709,-3.697276,-38.601757,5,2015,2017,2019,-2,pre,0.157896,aceitavel,16,False,landsat,30,111358,rf_v1.0-tuned,1278.09,903.24,112.59,2999.07,4729.23,0.127526,0.090124,0.011234,0.299242,0.471874,30.4603,30.3944,1.9161,45,,,42197.0,46568.0,3593.0,5743008.0,,,,,,,
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,,0,Caucaia,CE,2303709,-3.697276,-38.601757,5,2016,2017,2019,-1,pre,0.157896,aceitavel,16,False,landsat,30,111508,rf_v1.0-tuned,1193.94,952.65,94.5,3045.78,4748.85,0.118969,0.094926,0.009416,0.303494,0.473195,31.0379,31.1408,2.168,43,358164.0,estimativa_intercensitaria,32371.0,36890.0,3855.0,5443796.0,,,,,,,
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,,0,Caucaia,CE,2303709,-3.697276,-38.601757,5,2017,2017,2019,0,durante,0.157896,aceitavel,16,False,landsat,30,111528,rf_v1.0-tuned,1314.99,857.43,86.76,3013.83,4764.51,0.131007,0.085422,0.008644,0.300256,0.47467,30.1446,30.2536,2.7735,42,362223.0,estimativa_intercensitaria,35519.0,40036.0,3720.0,5862516.0,,,,,,,
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,,0,Caucaia,CE,2303709,-3.697276,-38.601757,5,2018,2017,2019,1,durante,0.157896,aceitavel,16,False,landsat,30,111620,rf_v1.0-tuned,1451.34,840.87,97.38,2917.8,4738.41,0.144472,0.083704,0.009694,0.29045,0.471681,30.7043,31.1135,2.1633,40,363982.0,estimativa_intercensitaria,36006.0,40278.0,3514.0,5069517.0,,,,,,,
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,,0,Caucaia,CE,2303709,-3.697276,-38.601757,5,2019,2017,2019,2,durante,0.157896,aceitavel,16,False,landsat,30,111602,rf_v1.0-tuned,1655.91,877.77,86.58,2688.3,4735.62,0.164863,0.087391,0.00862,0.267648,0.471479,30.5874,30.8267,2.0177,42,361400.0,estimativa_intercensitaria,38933.0,43135.0,3545.0,6915884.0,,,,,,,
ctrl-angonap-fortaleza-p01,controle,angonap-fortaleza,,0,Caucaia,CE,2303709,-3.697276,-38.601757,5,2020,2017,2019,3,pos,0.157896,aceitavel,16,False,landsat,30,111550,rf_v1.0-tuned,1670.85,734.31,88.56,2831.04,4714.74,0.166428,0.073142,0.008821,0.28199,0.469619,30.1777,30.5856,2.5128,45,365212.0,estimativa_intercensitaria,38922.0,43328.0,3667.0,7171082.0,,,,,,,
angonap-fortaleza,tratamento,angonap-fortaleza,,0,Fortaleza,CE,2304400,-3.734736,-38.462636,5,2014,2017,2019,-3,pre,0.157896,aceitavel,16,False,landsat,30,111304,rf_v1.0-tuned,587.43,941.49,256.32,2837.07,5395.05,0.058641,0.093986,0.025588,0.283215,0.53857,31.5483,31.8689,2.1584,46,,,825189.0,910187.0,60799.0,56116644.0,Nordeste,Caatinga,1.0,,,,
angonap-fortaleza,tratamento,angonap-fortaleza,,0,Fortaleza,CE,2304400,-3.734736,-38.462636,5,2015,2017,2019,-2,pre,0.157896,aceitavel,16,False,landsat,30,110436,rf_v1.0-tuned,533.52,984.06,217.8,2808.9,5394.96,0.053678,0.099008,0.021913,0.282607,0.542794,31.2092,30.9535,1.9997,45,,,796204.0,880791.0,60490.0,57211200.0,Nordeste,Caatinga,1.0,,,,
angonap-fortaleza,tratamento,angonap-fortaleza,,0,Fortaleza,CE,2304400,-3.734736,-38.462636,5,2016,2017,2019,-1,pre,0.157896,aceitavel,16,False,landsat,30,111084,rf_v1.0-tuned,534.78,962.82,225.99,2899.53,5374.44,0.053491,0.096305,0.022605,0.290024,0.537575,31.8431,32.2371,2.4852,43,2609716.0,estimativa_intercensitaria,764914.0,847545.0,59046.0,60088001.0,Nordeste,Caatinga,1.0,,,,
angonap-fortaleza,tratamento,angonap-fortaleza,,0,Fortaleza,CE,2304400,-3.734736,-38.462636,5,2017,2017,2019,0,durante,0.157896,aceitavel,16,False,landsat,30,111220,rf_v1.0-tuned,567.81,988.29,226.17,2844.0,5383.53,0.056725,0.098732,0.022595,0.284122,0.537826,31.2976,31.3256,1.9232,46,2627482.0,estimativa_intercensitaria,757867.0,841351.0,58323.0,61592347.0,Nordeste,Caatinga,1.0,,,,
angonap-fortaleza,tratamento,angonap-fortaleza,,0,Fortaleza,CE,2304400,-3.734736,-38.462636,5,2018,2017,2019,1,durante,0.157896,aceitavel,16,False,landsat,30,111298,rf_v1.0-tuned,581.4,947.43,214.2,2896.74,5377.05,0.058042,0.094584,0.021384,0.289188,0.536802,31.5818,31.7976,2.0651,42,2643247.0,estimativa_intercensitaria,766815.0,849045.0,56922.0,66381302.0,Nordeste,Caatinga,1.0,,,,
angonap-fortaleza,tratamento,angonap-fortaleza,,0,Fortaleza,CE,2304400,-3.734736,-38.462636,5,2019,2017,2019,2,durante,0.157896,aceitavel,16,False,landsat,30,111372,rf_v1.0-tuned,642.6,1005.84,171.9,2822.76,5380.38,0.064109,0.100348,0.01715,0.281615,0.536778,31.8484,31.9835,1.61,42,2669342.0,estimativa_intercensitaria,763558.0,849116.0,60618.0,67401430.0,Nordeste,Caatinga,1.0,,,,
angonap-fortaleza,tratamento,angonap-fortaleza,,0,Fortaleza,CE,2304400,-3.734736,-38.462636,5,2020,2017,2019,3,pos,0.157896,aceitavel,16,False,landsat,30,111272,rf_v1.0-tuned,643.59,1016.73,194.4,2806.11,5353.65,0.064266,0.101526,0.019412,0.280205,0.534591,31.1894,31.2461,1.9386,46,2686612.0,estimativa_intercensitaria,729661.0,818765.0,62532.0,64821582.0,Nordeste,Caatinga,1.0,,,,
ctrl-ascenty-hortolandia-p01,controle,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Campinas,SP,3509502,-22.968204,-47.044123,5,2015,2018,2022,-3,pre,0.036282,bom,16,False,landsat,30,111556,rf_v1.0-tuned,682.83,4159.62,82.62,5078.43,36.54,0.068011,0.414303,0.008229,0.505818,0.003639,29.9083,30.4509,4.2917,43,,,414177.0,476759.0,47707.0,57154532.0,,,,,,,
