variavel,n_pares,media,mediana,ic95_baixo,ic95_alto,cohen_d,magnitude,p_valor,p_valor_fdr,significativo_fdr,direcao
populacao,14,43111.654761904756,5706.666666666666,4036.0303571428576,95876.16398809526,0.4704631618559299,pequena,0.04541015625,0.4541015625,False,aumenta
prop_vegetacao_densa,15,0.0007614222222222249,0.006044000000000022,-0.010708528888888885,0.01237392666666666,0.03204392361061249,desprezível,0.90045166015625,0.9425048828125,False,aumenta
prop_solo_exposto_obras,15,0.00046062222222222337,0.00026533333333333297,-0.001509472777777777,0.0027993477777777786,0.10406404060955991,desprezível,0.73944091796875,0.9425048828125,False,aumenta
prop_vegetacao_rala,15,-0.0016771111111111151,-0.002294666666666676,-0.013280182222222216,0.009994136111111097,-0.07177253259300112,desprezível,0.7806396484375,0.9425048828125,False,diminui
prop_construida_urbana,15,-0.0007273333333333366,0.0009286666666667073,-0.006995092222222218,0.0048034811111111134,-0.06019900384599894,desprezível,0.84515380859375,0.9425048828125,False,diminui
prop_agua,15,0.0011825111111111064,7.13333333333339e-05,-0.00230635,0.005295924999999991,0.15131474908478915,desprezível,0.67388916015625,0.9425048828125,False,aumenta
lst_media_celsius,15,-0.12074888888888917,0.02986666666666693,-0.3443667222222223,0.07031205555555489,-0.28853183933073717,pequena,0.29425048828125,0.9425048828125,False,diminui
emprego_formal_total,15,-9792.144444444442,2264.3333333333335,-51402.50500000001,16081.339722222225,-0.1327534473485022,desprezível,0.9425048828125,0.9425048828125,False,diminui
pib_mil_reais,15,1759388.811111111,1265513.6666666667,-5153082.989444444,7113947.641666667,0.13835800551964242,desprezível,0.658203125,0.9425048828125,False,aumenta
numero_empresas,15,-8660.366666666667,74.66666666666667,-30818.357222222225,3704.7036111111097,-0.2096581263994688,pequena,0.93017578125,0.9425048828125,False,diminui
