par,horizonte,variavel,efeito_liquido
angonap-fortaleza,-3,prop_vegetacao_densa,-0.022198999999999997
angonap-fortaleza,-3,prop_vegetacao_rala,0.01461599999999999
angonap-fortaleza,-3,prop_solo_exposto_obras,0.000869
angonap-fortaleza,-3,prop_construida_urbana,0.005815999999999988
angonap-fortaleza,-3,prop_agua,0.0008979999999999544
angonap-fortaleza,-3,lst_media_celsius,-0.12329999999999686
angonap-fortaleza,-3,populacao,
angonap-fortaleza,-3,emprego_formal_total,51204.0
angonap-fortaleza,-3,pib_mil_reais,-4110052.0
angonap-fortaleza,-3,numero_empresas,2191.0
angonap-fortaleza,-2,prop_vegetacao_densa,-0.008369999999999995
angonap-fortaleza,-2,prop_vegetacao_rala,0.007504999999999998
angonap-fortaleza,-2,prop_solo_exposto_obras,-0.00251
angonap-fortaleza,-2,prop_construida_urbana,-0.003165000000000029
angonap-fortaleza,-2,prop_agua,0.006539999999999935
angonap-fortaleza,-2,lst_media_celsius,-0.05630000000000024
angonap-fortaleza,-2,populacao,
angonap-fortaleza,-2,emprego_formal_total,21464.0
angonap-fortaleza,-2,pib_mil_reais,-3176013.0
angonap-fortaleza,-2,numero_empresas,1706.0
angonap-fortaleza,-1,prop_vegetacao_densa,0.0
angonap-fortaleza,-1,prop_vegetacao_rala,0.0
angonap-fortaleza,-1,prop_solo_exposto_obras,0.0
angonap-fortaleza,-1,prop_construida_urbana,0.0
angonap-fortaleza,-1,prop_agua,0.0
angonap-fortaleza,-1,lst_media_celsius,0.0
angonap-fortaleza,-1,populacao,0.0
angonap-fortaleza,-1,emprego_formal_total,0.0
angonap-fortaleza,-1,pib_mil_reais,0.0
angonap-fortaleza,-1,numero_empresas,0.0
angonap-fortaleza,0,prop_vegetacao_densa,-0.008804000000000006
angonap-fortaleza,0,prop_vegetacao_rala,0.011930999999999997
angonap-fortaleza,0,prop_solo_exposto_obras,0.0007620000000000005
angonap-fortaleza,0,prop_construida_urbana,-0.002664000000000055
angonap-fortaleza,0,prop_agua,-0.0012240000000000029
angonap-fortaleza,0,lst_media_celsius,0.34779999999999944
angonap-fortaleza,0,populacao,13707.0
angonap-fortaleza,0,emprego_formal_total,-10195.0
angonap-fortaleza,0,pib_mil_reais,1085626.0
angonap-fortaleza,0,numero_empresas,-588.0
angonap-fortaleza,1,prop_vegetacao_densa,-0.020951999999999978
angonap-fortaleza,1,prop_vegetacao_rala,0.009500999999999996
angonap-fortaleza,1,prop_solo_exposto_obras,-0.0014989999999999986
angonap-fortaleza,1,prop_construida_urbana,0.012207999999999997
angonap-fortaleza,1,prop_agua,0.0007409999999999362
angonap-fortaleza,1,lst_media_celsius,0.07230000000000203
angonap-fortaleza,1,populacao,27713.0
angonap-fortaleza,1,emprego_formal_total,-1734.0
angonap-fortaleza,1,pib_mil_reais,6667580.0
angonap-fortaleza,1,numero_empresas,-1783.0
angonap-fortaleza,2,prop_vegetacao_densa,-0.035276
angonap-fortaleza,2,prop_vegetacao_rala,0.011578000000000005
angonap-fortaleza,2,prop_solo_exposto_obras,-0.004659
angonap-fortaleza,2,prop_construida_urbana,0.02743699999999999
angonap-fortaleza,2,prop_agua,0.0009189999999999476
angonap-fortaleza,2,lst_media_celsius,0.45580000000000354
angonap-fortaleza,2,populacao,56390.0
angonap-fortaleza,2,emprego_formal_total,-7918.0
angonap-fortaleza,2,pib_mil_reais,5841341.0
angonap-fortaleza,2,numero_empresas,1882.0
angonap-fortaleza,3,prop_vegetacao_densa,-0.03668399999999998
angonap-fortaleza,3,prop_vegetacao_rala,0.027005
angonap-fortaleza,3,prop_solo_exposto_obras,-0.0025980000000000013
angonap-fortaleza,3,prop_construida_urbana,0.011684999999999945
angonap-fortaleza,3,prop_agua,0.0005919999999999814
angonap-fortaleza,3,lst_media_celsius,0.20649999999999835
angonap-fortaleza,3,populacao,69848.0
angonap-fortaleza,3,emprego_formal_total,-41804.0
angonap-fortaleza,3,pib_mil_reais,3006295.0
angonap-fortaleza,3,numero_empresas,3674.0
ascenty-hortolandia,-3,prop_vegetacao_densa,0.030239999999999996
ascenty-hortolandia,-3,prop_vegetacao_rala,0.009130000000000027
ascenty-hortolandia,-3,prop_solo_exposto_obras,-0.000874999999999999
ascenty-hortolandia,-3,prop_construida_urbana,-0.03854699999999994
ascenty-hortolandia,-3,prop_agua,5.499999999999993e-05
ascenty-hortolandia,-3,lst_media_celsius,-0.42570000000000263
ascenty-hortolandia,-3,populacao,
ascenty-hortolandia,-3,emprego_formal_total,-14023.0
ascenty-hortolandia,-3,pib_mil_reais,-85827.0
ascenty-hortolandia,-3,numero_empresas,-904.0
ascenty-hortolandia,-2,prop_vegetacao_densa,-0.012417999999999998
ascenty-hortolandia,-2,prop_vegetacao_rala,0.004925000000000013
ascenty-hortolandia,-2,prop_solo_exposto_obras,0.0011410000000000014
ascenty-hortolandia,-2,prop_construida_urbana,0.006769999999999998
ascenty-hortolandia,-2,prop_agua,-0.00041600000000000014
ascenty-hortolandia,-2,lst_media_celsius,-0.20139999999999958
ascenty-hortolandia,-2,populacao,5912.0
ascenty-hortolandia,-2,emprego_formal_total,-1192.0
ascenty-hortolandia,-2,pib_mil_reais,-474198.0
ascenty-hortolandia,-2,numero_empresas,-1048.0
ascenty-hortolandia,-1,prop_vegetacao_densa,0.0
ascenty-hortolandia,-1,prop_vegetacao_rala,0.0
ascenty-hortolandia,-1,prop_solo_exposto_obras,0.0
ascenty-hortolandia,-1,prop_construida_urbana,0.0
ascenty-hortolandia,-1,prop_agua,0.0
ascenty-hortolandia,-1,lst_media_celsius,0.0
ascenty-hortolandia,-1,populacao,0.0
ascenty-hortolandia,-1,emprego_formal_total,0.0
ascenty-hortolandia,-1,pib_mil_reais,0.0
ascenty-hortolandia,-1,numero_empresas,0.0
ascenty-hortolandia,0,prop_vegetacao_densa,-0.0038740000000000024
ascenty-hortolandia,0,prop_vegetacao_rala,-0.0033270000000000244
ascenty-hortolandia,0,prop_solo_exposto_obras,-0.00016799999999999975
ascenty-hortolandia,0,prop_construida_urbana,0.007701999999999987
ascenty-hortolandia,0,prop_agua,-0.00033000000000000043
ascenty-hortolandia,0,lst_media_celsius,0.073599999999999
ascenty-hortolandia,0,populacao,-6498.0
ascenty-hortolandia,0,emprego_formal_total,-1686.0
ascenty-hortolandia,0,pib_mil_reais,-2175387.0
ascenty-hortolandia,0,numero_empresas,-363.0
ascenty-hortolandia,1,prop_vegetacao_densa,-0.015109000000000004
ascenty-hortolandia,1,prop_vegetacao_rala,0.022042000000000006
ascenty-hortolandia,1,prop_solo_exposto_obras,0.00020800000000000072
ascenty-hortolandia,1,prop_construida_urbana,-0.0064930000000000265
ascenty-hortolandia,1,prop_agua,-0.0006449999999999997
ascenty-hortolandia,1,lst_media_celsius,0.009399999999999409
ascenty-hortolandia,1,populacao,-12979.0
ascenty-hortolandia,1,emprego_formal_total,1343.0
ascenty-hortolandia,1,pib_mil_reais,-5040659.0
ascenty-hortolandia,1,numero_empresas,-4106.0
ascenty-hortolandia,2,prop_vegetacao_densa,-0.038854999999999994
ascenty-hortolandia,2,prop_vegetacao_rala,0.016527999999999987
ascenty-hortolandia,2,prop_solo_exposto_obras,0.002027000000000001
ascenty-hortolandia,2,prop_construida_urbana,0.02086700000000008
ascenty-hortolandia,2,prop_agua,-0.0005640000000000003
ascenty-hortolandia,2,lst_media_celsius,0.006600000000002382
ascenty-hortolandia,2,populacao,-19290.0
ascenty-hortolandia,2,emprego_formal_total,16839.0
ascenty-hortolandia,2,pib_mil_reais,-2713522.0
ascenty-hortolandia,2,numero_empresas,-5818.0
ascenty-hortolandia,3,prop_vegetacao_densa,0.015292
ascenty-hortolandia,3,prop_vegetacao_rala,-0.014561999999999964
ascenty-hortolandia,3,prop_solo_exposto_obras,0.0010050000000000016
ascenty-hortolandia,3,prop_construida_urbana,-0.0011529999999999596
ascenty-hortolandia,3,prop_agua,-0.000582
ascenty-hortolandia,3,lst_media_celsius,0.1761999999999979
ascenty-hortolandia,3,populacao,-25424.0
ascenty-hortolandia,3,emprego_formal_total,344.0
ascenty-hortolandia,3,pib_mil_reais,-8510867.0
ascenty-hortolandia,3,numero_empresas,-8504.0
ascenty-hortolandia,4,prop_vegetacao_densa,-0.037892
ascenty-hortolandia,4,prop_vegetacao_rala,-8.999999999997899e-05
ascenty-hortolandia,4,prop_solo_exposto_obras,0.0008790000000000013
ascenty-hortolandia,4,prop_construida_urbana,0.03730099999999992
ascenty-hortolandia,4,prop_agua,-0.00019700000000000013
ascenty-hortolandia,4,lst_media_celsius,-0.09950000000000259
