site_id,par_id,papel,nome,pais,municipio,uf,lat,lon,buffer_km,ano_inicio_obra,ano_fim_obra,tier,bioma,regiao,qualidade_par,l1_rf,dist_tratamento_controle_km,mw_construido_total,whitespace_construido_sqm_total,sensor,modelo_versao
angonap-fortaleza,angonap-fortaleza,tratamento,Angonap Fortaleza,BR,Fortaleza,CE,-3.734736,-38.462636,5,2017,2019,1.0,Caatinga,Nordeste,aceitavel,0.157896,16,,,landsat,rf_v1.0-tuned
ascenty-hortolandia,ascenty-hortolandia,tratamento,Ascenty Hortolandia,BR,Hortolândia,SP,-22.896022,-47.179246,5,2018,2022,1.0,Mata Atlântica,Sudeste,bom,0.036282,16,43.0,29969.0,landsat,rf_v1.0-tuned
ascenty-jundiai,ascenty-jundiai,tratamento,Ascenty Jundiai,BR,Jundiaí,SP,-23.191744,-46.974604,5,2019,2019,2.0,Mata Atlântica,Sudeste,bom,0.088258,24,13.0,8993.0,landsat,rf_v1.0-tuned
ascenty-maracanau,ascenty-maracanau,tratamento,Ascenty Maracanau,BR,Maracanaú,CE,-3.830803,-38.611253,5,2014,2015,1.0,Caatinga,Nordeste,ruim,0.854877,36,,,landsat,rf_v1.0-tuned
ascenty-osasco,ascenty-osasco,tratamento,Ascenty Osasco,BR,Osasco,SP,-23.492259,-46.777232,5,2020,2023,1.0,Mata Atlântica,Sudeste,ruim,0.265934,16,13.0,11492.0,landsat,rf_v1.0-tuned
ascenty-paulinia,ascenty-paulinia,tratamento,Ascenty Paulinia,BR,Paulínia,SP,-22.7974087,-47.1345476,5,2019,2019,2.0,Mata Atlântica,Sudeste,bom,0.072125,20,13.0,0.0,landsat,rf_v1.0-tuned
ascenty-sumare,ascenty-sumare,tratamento,Ascenty Sumare,BR,Sumaré,SP,-22.8069862,-47.2200481,5,2017,2019,1.0,Mata Atlântica,Sudeste,ruim,0.411088,28,34.0,0.0,landsat,rf_v1.0-tuned
ascenty-vinhedo,ascenty-vinhedo,tratamento,Ascenty Vinhedo,BR,Vinhedo,SP,-23.0700044,-47.0118926,5,2019,2020,1.0,Mata Atlântica,Sudeste,aceitavel,0.131596,28,61.0,45978.0,landsat,rf_v1.0-tuned
clickip-manaus,clickip-manaus,tratamento,Clickip Manaus,BR,Manaus,AM,-3.055564,-59.989801,5,2023,2024,1.0,Amazônia,Norte,ruim,1.369247,32,,,s2,rf_v1.0-tuned
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,Equinix Santana Parnaiba,BR,Santana de Parnaíba,SP,-23.460369,-46.859912,5,2020,2021,1.0,Mata Atlântica,Sudeste,ruim,0.541542,16,14.4,5087.0,landsat,rf_v1.0-tuned
everest-goiania,everest-goiania,tratamento,Everest Goiania,BR,Goiânia,GO,-16.6915189,-49.2371899,5,2021,2023,1.0,Cerrado,Centro-Oeste,ruim,0.8661,20,,,landsat,rf_v1.0-tuned
