variavel,n_pares,media,mediana,ic95_baixo,ic95_alto,cohen_d,magnitude,p_valor,p_valor_fdr,significativo_fdr,direcao
populacao,14,43111.65476190476,5706.666666666666,4036.0303571428576,95876.16398809526,0.4704631618559299,pequena,0.04541015625,0.4541015625,False,aumenta
prop_vegetacao_densa,15,0.0007614222222222,0.006044,-0.0107085288888888,0.0123739266666666,0.0320439236106124,desprezível,0.90045166015625,0.9425048828125,False,aumenta
prop_solo_exposto_obras,15,0.0004606222222222,0.0002653333333333,-0.0015094727777777,0.0027993477777777,0.1040640406095599,desprezível,0.73944091796875,0.9425048828125,False,aumenta
prop_vegetacao_rala,15,-0.0016771111111111,-0.0022946666666666,-0.0132801822222222,0.009994136111111,-0.0717725325930011,desprezível,0.7806396484375,0.9425048828125,False,diminui
prop_construida_urbana,15,-0.0007273333333333,0.0009286666666667,-0.0069950922222222,0.0048034811111111,-0.0601990038459989,desprezível,0.84515380859375,0.9425048828125,False,diminui
prop_agua,15,0.0011825111111111,7.13333333333339e-05,-0.00230635,0.0052959249999999,0.1513147490847891,desprezível,0.67388916015625,0.9425048828125,False,aumenta
lst_media_celsius,15,-0.1207488888888891,0.0298666666666669,-0.3443667222222223,0.0703120555555548,-0.2885318393307371,pequena,0.29425048828125,0.9425048828125,False,diminui
emprego_formal_total,15,-9792.144444444442,2264.333333333333,-51402.50500000001,16081.339722222225,-0.1327534473485022,desprezível,0.9425048828125,0.9425048828125,False,diminui
pib_mil_reais,15,1759388.811111111,1265513.6666666667,-5153082.989444444,7113947.641666667,0.1383580055196424,desprezível,0.658203125,0.9425048828125,False,aumenta
numero_empresas,15,-8660.366666666667,74.66666666666667,-30818.357222222225,3704.7036111111097,-0.2096581263994688,pequena,0.93017578125,0.9425048828125,False,diminui
