site_id,papel,pareado_com,ano,ano_relativo_ao_inicio_obra,fase,classe,percentual
angonap-fortaleza,tratamento,angonap-fortaleza,2014,-3,pre,agua,53.857
angonap-fortaleza,tratamento,angonap-fortaleza,2014,-3,pre,construida_urbana,28.3215
angonap-fortaleza,tratamento,angonap-fortaleza,2014,-3,pre,solo_exposto_obras,2.5587999999999997
angonap-fortaleza,tratamento,angonap-fortaleza,2014,-3,pre,vegetacao_densa,5.8641
angonap-fortaleza,tratamento,angonap-fortaleza,2014,-3,pre,vegetacao_rala,9.3986
angonap-fortaleza,tratamento,angonap-fortaleza,2015,-2,pre,agua,54.2794
angonap-fortaleza,tratamento,angonap-fortaleza,2015,-2,pre,construida_urbana,28.2607
angonap-fortaleza,tratamento,angonap-fortaleza,2015,-2,pre,solo_exposto_obras,2.1913
angonap-fortaleza,tratamento,angonap-fortaleza,2015,-2,pre,vegetacao_densa,5.3678
angonap-fortaleza,tratamento,angonap-fortaleza,2015,-2,pre,vegetacao_rala,9.9008
angonap-fortaleza,tratamento,angonap-fortaleza,2016,-1,pre,agua,53.7575
angonap-fortaleza,tratamento,angonap-fortaleza,2016,-1,pre,construida_urbana,29.0024
angonap-fortaleza,tratamento,angonap-fortaleza,2016,-1,pre,solo_exposto_obras,2.2605
angonap-fortaleza,tratamento,angonap-fortaleza,2016,-1,pre,vegetacao_densa,5.3491
angonap-fortaleza,tratamento,angonap-fortaleza,2016,-1,pre,vegetacao_rala,9.6305
angonap-fortaleza,tratamento,angonap-fortaleza,2017,0,durante,agua,53.7826
angonap-fortaleza,tratamento,angonap-fortaleza,2017,0,durante,construida_urbana,28.4122
angonap-fortaleza,tratamento,angonap-fortaleza,2017,0,durante,solo_exposto_obras,2.2595
angonap-fortaleza,tratamento,angonap-fortaleza,2017,0,durante,vegetacao_densa,5.672499999999999
angonap-fortaleza,tratamento,angonap-fortaleza,2017,0,durante,vegetacao_rala,9.8732
angonap-fortaleza,tratamento,angonap-fortaleza,2018,1,durante,agua,53.6802
angonap-fortaleza,tratamento,angonap-fortaleza,2018,1,durante,construida_urbana,28.9188
angonap-fortaleza,tratamento,angonap-fortaleza,2018,1,durante,solo_exposto_obras,2.1384
angonap-fortaleza,tratamento,angonap-fortaleza,2018,1,durante,vegetacao_densa,5.804200000000001
angonap-fortaleza,tratamento,angonap-fortaleza,2018,1,durante,vegetacao_rala,9.458400000000001
angonap-fortaleza,tratamento,angonap-fortaleza,2019,2,durante,agua,53.6778
angonap-fortaleza,tratamento,angonap-fortaleza,2019,2,durante,construida_urbana,28.1615
angonap-fortaleza,tratamento,angonap-fortaleza,2019,2,durante,solo_exposto_obras,1.7149999999999999
angonap-fortaleza,tratamento,angonap-fortaleza,2019,2,durante,vegetacao_densa,6.4109
angonap-fortaleza,tratamento,angonap-fortaleza,2019,2,durante,vegetacao_rala,10.0348
angonap-fortaleza,tratamento,angonap-fortaleza,2020,3,pos,agua,53.45910000000001
angonap-fortaleza,tratamento,angonap-fortaleza,2020,3,pos,construida_urbana,28.0205
angonap-fortaleza,tratamento,angonap-fortaleza,2020,3,pos,solo_exposto_obras,1.9411999999999998
angonap-fortaleza,tratamento,angonap-fortaleza,2020,3,pos,vegetacao_densa,6.4266000000000005
angonap-fortaleza,tratamento,angonap-fortaleza,2020,3,pos,vegetacao_rala,10.1526
ascenty-hortolandia,tratamento,ascenty-hortolandia,2015,-3,pre,agua,0.33349999999999996
ascenty-hortolandia,tratamento,ascenty-hortolandia,2015,-3,pre,construida_urbana,48.154
ascenty-hortolandia,tratamento,ascenty-hortolandia,2015,-3,pre,solo_exposto_obras,1.1225
ascenty-hortolandia,tratamento,ascenty-hortolandia,2015,-3,pre,vegetacao_densa,8.862499999999999
ascenty-hortolandia,tratamento,ascenty-hortolandia,2015,-3,pre,vegetacao_rala,41.5276
ascenty-hortolandia,tratamento,ascenty-hortolandia,2016,-2,pre,agua,0.3084
ascenty-hortolandia,tratamento,ascenty-hortolandia,2016,-2,pre,construida_urbana,51.015699999999995
ascenty-hortolandia,tratamento,ascenty-hortolandia,2016,-2,pre,solo_exposto_obras,1.1681000000000001
ascenty-hortolandia,tratamento,ascenty-hortolandia,2016,-2,pre,vegetacao_densa,6.1856
ascenty-hortolandia,tratamento,ascenty-hortolandia,2016,-2,pre,vegetacao_rala,41.3223
ascenty-hortolandia,tratamento,ascenty-hortolandia,2017,-1,pre,agua,0.2904
ascenty-hortolandia,tratamento,ascenty-hortolandia,2017,-1,pre,construida_urbana,52.5413
ascenty-hortolandia,tratamento,ascenty-hortolandia,2017,-1,pre,solo_exposto_obras,1.1922
ascenty-hortolandia,tratamento,ascenty-hortolandia,2017,-1,pre,vegetacao_densa,5.9495
ascenty-hortolandia,tratamento,ascenty-hortolandia,2017,-1,pre,vegetacao_rala,40.0265
ascenty-hortolandia,tratamento,ascenty-hortolandia,2018,0,durante,agua,0.28509999999999996
ascenty-hortolandia,tratamento,ascenty-hortolandia,2018,0,durante,construida_urbana,51.8157
ascenty-hortolandia,tratamento,ascenty-hortolandia,2018,0,durante,solo_exposto_obras,1.1582000000000001
ascenty-hortolandia,tratamento,ascenty-hortolandia,2018,0,durante,vegetacao_densa,6.0465
ascenty-hortolandia,tratamento,ascenty-hortolandia,2018,0,durante,vegetacao_rala,40.694599999999994
ascenty-hortolandia,tratamento,ascenty-hortolandia,2019,1,durante,agua,0.2824
ascenty-hortolandia,tratamento,ascenty-hortolandia,2019,1,durante,construida_urbana,48.2797
ascenty-hortolandia,tratamento,ascenty-hortolandia,2019,1,durante,solo_exposto_obras,0.9395
ascenty-hortolandia,tratamento,ascenty-hortolandia,2019,1,durante,vegetacao_densa,9.4148
ascenty-hortolandia,tratamento,ascenty-hortolandia,2019,1,durante,vegetacao_rala,41.0837
ascenty-hortolandia,tratamento,ascenty-hortolandia,2020,2,durante,agua,0.3039
ascenty-hortolandia,tratamento,ascenty-hortolandia,2020,2,durante,construida_urbana,50.2075
ascenty-hortolandia,tratamento,ascenty-hortolandia,2020,2,durante,solo_exposto_obras,1.0954
ascenty-hortolandia,tratamento,ascenty-hortolandia,2020,2,durante,vegetacao_densa,7.6196
ascenty-hortolandia,tratamento,ascenty-hortolandia,2020,2,durante,vegetacao_rala,40.7736
ascenty-hortolandia,tratamento,ascenty-hortolandia,2021,3,durante,agua,0.2376
ascenty-hortolandia,tratamento,ascenty-hortolandia,2021,3,durante,construida_urbana,57.1322
ascenty-hortolandia,tratamento,ascenty-hortolandia,2021,3,durante,solo_exposto_obras,1.1277000000000001
ascenty-hortolandia,tratamento,ascenty-hortolandia,2021,3,durante,vegetacao_densa,4.2993999999999994
ascenty-hortolandia,tratamento,ascenty-hortolandia,2021,3,durante,vegetacao_rala,37.203
ascenty-hortolandia,tratamento,ascenty-hortolandia,2022,4,durante,agua,0.2931
ascenty-hortolandia,tratamento,ascenty-hortolandia,2022,4,durante,construida_urbana,55.45909999999999
ascenty-hortolandia,tratamento,ascenty-hortolandia,2022,4,durante,solo_exposto_obras,1.012
ascenty-hortolandia,tratamento,ascenty-hortolandia,2022,4,durante,vegetacao_densa,4.8317
ascenty-hortolandia,tratamento,ascenty-hortolandia,2022,4,durante,vegetacao_rala,38.403999999999996
ascenty-jundiai,tratamento,ascenty-jundiai,2016,-3,pre,agua,0.583
ascenty-jundiai,tratamento,ascenty-jundiai,2016,-3,pre,construida_urbana,25.2904
ascenty-jundiai,tratamento,ascenty-jundiai,2016,-3,pre,solo_exposto_obras,2.2561
ascenty-jundiai,tratamento,ascenty-jundiai,2016,-3,pre,vegetacao_densa,30.9452
ascenty-jundiai,tratamento,ascenty-jundiai,2016,-3,pre,vegetacao_rala,40.925200000000004
ascenty-jundiai,tratamento,ascenty-jundiai,2017,-2,pre,agua,0.5376
ascenty-jundiai,tratamento,ascenty-jundiai,2017,-2,pre,construida_urbana,26.4208
ascenty-jundiai,tratamento,ascenty-jundiai,2017,-2,pre,solo_exposto_obras,2.1852
ascenty-jundiai,tratamento,ascenty-jundiai,2017,-2,pre,vegetacao_densa,30.0446
ascenty-jundiai,tratamento,ascenty-jundiai,2017,-2,pre,vegetacao_rala,40.8118
ascenty-jundiai,tratamento,ascenty-jundiai,2018,-1,pre,agua,0.5153
ascenty-jundiai,tratamento,ascenty-jundiai,2018,-1,pre,construida_urbana,24.7077
ascenty-jundiai,tratamento,ascenty-jundiai,2018,-1,pre,solo_exposto_obras,1.9487
ascenty-jundiai,tratamento,ascenty-jundiai,2018,-1,pre,vegetacao_densa,27.519700000000004
ascenty-jundiai,tratamento,ascenty-jundiai,2018,-1,pre,vegetacao_rala,45.3086
ascenty-jundiai,tratamento,ascenty-jundiai,2019,0,durante,agua,0.5347000000000001
ascenty-jundiai,tratamento,ascenty-jundiai,2019,0,durante,construida_urbana,23.1349
ascenty-jundiai,tratamento,ascenty-jundiai,2019,0,durante,solo_exposto_obras,1.4489999999999998
ascenty-jundiai,tratamento,ascenty-jundiai,2019,0,durante,vegetacao_densa,34.6956
ascenty-jundiai,tratamento,ascenty-jundiai,2019,0,durante,vegetacao_rala,40.185700000000004
ascenty-jundiai,tratamento,ascenty-jundiai,2020,1,pos,agua,0.5841
ascenty-jundiai,tratamento,ascenty-jundiai,2020,1,pos,construida_urbana,23.2507
ascenty-jundiai,tratamento,ascenty-jundiai,2020,1,pos,solo_exposto_obras,1.2419
ascenty-jundiai,tratamento,ascenty-jundiai,2020,1,pos,vegetacao_densa,34.3108
ascenty-jundiai,tratamento,ascenty-jundiai,2020,1,pos,vegetacao_rala,40.612500000000004
ascenty-jundiai,tratamento,ascenty-jundiai,2021,2,pos,agua,0.4841
ascenty-jundiai,tratamento,ascenty-jundiai,2021,2,pos,construida_urbana,27.2015
ascenty-jundiai,tratamento,ascenty-jundiai,2021,2,pos,solo_exposto_obras,1.5421
ascenty-jundiai,tratamento,ascenty-jundiai,2021,2,pos,vegetacao_densa,26.005499999999998
ascenty-jundiai,tratamento,ascenty-jundiai,2021,2,pos,vegetacao_rala,44.7668
ascenty-jundiai,tratamento,ascenty-jundiai,2022,3,pos,agua,0.4733
ascenty-jundiai,tratamento,ascenty-jundiai,2022,3,pos,construida_urbana,26.337899999999998
ascenty-jundiai,tratamento,ascenty-jundiai,2022,3,pos,solo_exposto_obras,1.1648
ascenty-jundiai,tratamento,ascenty-jundiai,2022,3,pos,vegetacao_densa,29.2531
ascenty-jundiai,tratamento,ascenty-jundiai,2022,3,pos,vegetacao_rala,42.7709
ascenty-maracanau,tratamento,ascenty-maracanau,2013,-1,pre,agua,1.9209
ascenty-maracanau,tratamento,ascenty-maracanau,2013,-1,pre,construida_urbana,52.4036
ascenty-maracanau,tratamento,ascenty-maracanau,2013,-1,pre,solo_exposto_obras,1.1882
ascenty-maracanau,tratamento,ascenty-maracanau,2013,-1,pre,vegetacao_densa,17.5621
ascenty-maracanau,tratamento,ascenty-maracanau,2013,-1,pre,vegetacao_rala,26.9252
ascenty-maracanau,tratamento,ascenty-maracanau,2014,0,durante,agua,1.8328
ascenty-maracanau,tratamento,ascenty-maracanau,2014,0,durante,construida_urbana,53.7632
ascenty-maracanau,tratamento,ascenty-maracanau,2014,0,durante,solo_exposto_obras,0.9518000000000001
ascenty-maracanau,tratamento,ascenty-maracanau,2014,0,durante,vegetacao_densa,17.935100000000002
ascenty-maracanau,tratamento,ascenty-maracanau,2014,0,durante,vegetacao_rala,25.5171
ascenty-maracanau,tratamento,ascenty-maracanau,2015,1,durante,agua,2.2843999999999998
ascenty-maracanau,tratamento,ascenty-maracanau,2015,1,durante,construida_urbana,55.3701
ascenty-maracanau,tratamento,ascenty-maracanau,2015,1,durante,solo_exposto_obras,1.101
ascenty-maracanau,tratamento,ascenty-maracanau,2015,1,durante,vegetacao_densa,14.1552
ascenty-maracanau,tratamento,ascenty-maracanau,2015,1,durante,vegetacao_rala,27.089299999999998
