campus_id,lat,lon,nome,operadora,n_predios,ano_obra_dw,status,frac_built_inicio,frac_built_fim
us-0001,32.832756365,-97.040946085,Cyxtera Dallas-Fort Worth Data Center,Cyxtera,1,,pre_ja_construido,0.7733,0.7134
us-0002,32.800845284615384,-96.81951845769233,Equinix Infomart,Equinix,1,,pre_ja_construido,1.0,1.0
us-0003,42.3765836,-71.07986428,CoreSite BO1,,1,,pre_ja_construido,1.0,1.0
us-0004,34.058040375675674,-118.23557544662162,USPO Terminal Annex,United States Postal Service,1,,pre_ja_construido,1.0,1.0
us-0005,32.78097235081081,-96.79637707765764,Live Oak Data Center,,2,,pre_ja_construido,1.0,1.0
us-0006,39.30390701282052,-84.31162447179487,CyrusOne Cincinnati-Mason CIN3,CyrusOne,1,,pre_ja_construido,1.0,1.0
us-0007,32.82800371111111,-117.12996633333334,LightEdge SAN1,,1,,pre_ja_construido,1.0,1.0
us-0008,32.8423202,-117.16931507,EdgeConneX San Diego,EdgeConneX,1,,pre_ja_construido,1.0,1.0
us-0009,38.64787477194445,-121.49166701833332,QTS Sacramento,Quality Technology Services,4,,pre_ja_construido,1.0,1.0
us-0010,37.24181967928241,-121.78344028630951,Equinix SV11,Equinix,4,,pre_ja_construido,1.0,1.0
us-0011,39.29400868333333,-84.41219388333333,,,1,2022.0,datado,0.0,1.0
us-0012,34.08104410901285,-84.25689226581275,T5 Data Center,Ascent,8,,pre_ja_construido,0.7204,0.6548
us-0013,44.66809826470588,-74.9806132117647,Old Main,Clarkson University,1,,pre_ja_construido,1.0,1.0
us-0014,38.62948859285714,-90.19685971857145,TierPoint,,2,,pre_ja_construido,1.0,1.0
us-0015,44.99011453909091,-93.27837627363635,Lumen Minneapolis 3,Lumen Technologies,2,,pre_ja_construido,1.0,1.0
us-0016,38.80340298863637,-77.51045224805196,Equinix DC14,Equinix,2,,pre_ja_construido,1.0,1.0
us-0017,39.10281136153846,-84.51781673076924,CyrusOne CIN2,CyrusOne,1,,pre_ja_construido,1.0,1.0
us-0018,44.85153317142857,-93.59907847142856,Flexential Minneapolis - Chaska,Flexential,1,,pre_ja_construido,1.0,1.0
us-0019,39.74541640833333,-104.98753652,Insurance Exchange Building,,2,,pre_ja_construido,1.0,1.0
us-0020,37.37632714111441,-121.9641150753618,STACK SVY02,Stack Infrastructure,54,,pre_ja_construido,1.0,1.0
