campus_id,ano_obra_dw,ano_landsat,degrau_ndbi,erro_anos
us-0011,2022.0,2015.0,0.08022211367217436,-7.0
us-0051,2018.0,2016.0,0.0425313739579494,-2.0
us-0062,2022.0,2015.0,0.165633500395305,-7.0
us-0090,2018.0,2018.0,0.14281379147625595,0.0
us-0115,2018.0,,-0.02280890004527128,
us-0116,2021.0,2015.0,0.0789202693049183,-6.0
us-0135,2018.0,,-0.011568092099145416,
us-0162,2024.0,2024.0,0.28431606005333565,0.0
us-0167,2020.0,2016.0,0.19555624002845232,-4.0
us-0182,2019.0,,-0.028490704513811204,
us-0188,2023.0,2019.0,0.20332640054091972,-4.0
us-0219,2024.0,2022.0,0.2100541958137128,-2.0
us-0249,2024.0,2022.0,0.17632981209714685,-2.0
us-0250,2023.0,,0.024667952073319274,
us-0254,2020.0,2021.0,0.1362527852605242,1.0
us-0256,2021.0,,-0.11770977134590786,
us-0257,2018.0,,0.019965880440186472,
us-0260,2021.0,2015.0,0.2838204156361256,-6.0
us-0294,2019.0,2022.0,0.13454307138320062,3.0
us-0295,2024.0,2019.0,0.2927308355307827,-5.0
us-0299,2021.0,,0.010082421040744326,
us-0300,2019.0,,-0.04221702699025294,
us-0306,2020.0,,-0.03574387169057299,
us-0307,2024.0,2018.0,0.1317105854701593,-6.0
us-0308,2022.0,2015.0,0.21778424114788306,-7.0
us-0309,2019.0,,-0.012617610923702047,
us-0317,2024.0,2018.0,0.11983977566594556,-6.0
us-0318,2021.0,2019.0,0.14082384217595437,-2.0
us-0320,2018.0,,0.01762759406132547,
us-0321,2020.0,,-0.06627678521484553,
us-0322,2020.0,,-0.06449676145773683,
us-0332,2023.0,2015.0,0.1054361025187372,-8.0
us-0342,2018.0,2018.0,0.23038837154057396,0.0
us-0347,2019.0,2019.0,0.14000009297938992,0.0
us-0350,2024.0,,-0.013932518416659424,
us-0358,2021.0,2018.0,0.4097861224318124,-3.0
us-0366,2020.0,2020.0,0.22361605235660031,0.0
us-0369,2024.0,,-0.050629128620236524,
us-0371,2020.0,2017.0,0.40310601178102057,-3.0
us-0372,2023.0,,-0.01202969953051914,
us-0375,2022.0,2021.0,0.29532670567936015,-1.0
us-0377,2021.0,2015.0,0.09982190083509784,-6.0
us-0382,2024.0,2022.0,0.15632988320847857,-2.0
us-0386,2023.0,,0.012364925276794309,
us-0391,2021.0,2020.0,0.23671241872527893,-1.0
us-0392,2022.0,2021.0,0.22166482663663073,-1.0
us-0398,2024.0,2020.0,0.20185229036409458,-4.0
us-0400,2022.0,,-0.13241412010501313,
us-0401,2023.0,2021.0,0.30863997176660174,-2.0
us-0405,2023.0,2023.0,0.3149628653905653,0.0
us-0406,2023.0,2021.0,0.15615075011472326,-2.0
us-0407,2024.0,2022.0,0.29312518847563385,-2.0
us-0408,2024.0,2021.0,0.2942926615057165,-3.0
us-0418,2023.0,2020.0,0.3842920910262869,-3.0
us-0419,2023.0,2018.0,0.25910671961080106,-5.0
us-0421,2023.0,,0.014546041177423766,
us-0422,2022.0,2021.0,0.2274159596519249,-1.0
us-0423,2021.0,2015.0,0.12571560060352988,-6.0
us-0427,2024.0,2016.0,0.10457754903114018,-8.0
us-0430,2020.0,2019.0,0.4406667105900845,-1.0
us-0433,2024.0,2024.0,0.05883803182977028,0.0
us-0434,2022.0,2022.0,0.1416719452860637,0.0
us-0436,2023.0,2016.0,0.048012124376558385,-7.0
us-0438,2024.0,2022.0,0.2915856460081687,-2.0
us-0439,2023.0,2022.0,0.31146125199902397,-1.0
us-0443,2023.0,2021.0,0.20083044597301528,-2.0
us-0445,2024.0,2021.0,0.342596300843455,-3.0
us-0446,2021.0,2016.0,0.3833573534928185,-5.0
us-0448,2023.0,2022.0,0.2645689017006321,-1.0
us-0449,2023.0,2015.0,0.032179702504076965,-8.0
us-0451,2024.0,2024.0,0.28151265985773194,0.0
us-0453,2024.0,2024.0,0.22530018655891454,0.0
us-0457,2024.0,,0.014152257168013566,
us-0459,2024.0,2015.0,0.08691929392064304,-9.0
us-0476,2023.0,2020.0,0.09714959747750844,-3.0
