nome_datacenter;operadora;latitude;longitude;status;stage;tipo_listagem;tipo_capacidade;tags;link_datacenter;mw_construido;mw_referenciado;whitespace_construido_m;whitespace_referenciado_m;ano_operacional;tipo_construcao;tipo_ocupacao;carga_piso_max_kg_m;redundancia_refrigeracao;cctv;controle_acesso_cartao;biometria;tier_projetado;tier_certificado;pci_dss;iso9001;iso14001;iso22301;iso27001;iso45001;iso50001;soc1;soc2;soc3;colo_suites;colo_cages;colo_cabinets;colo_partial_cabinets;colo_shared_rackspace;colo_footprints;colo_remote_hands;colo_build_to_suit;cloud_gpu;cloud_managed;cloud_baremetal;cloud_public_cloud;qtd_ixps;qtd_clouds;qtd_redes_presentes;qtd_provedores_rede;qtd_provedores_servico;codigo_site;peeringdb_id;cache_overview_status;cache_specs_status;endereco_corrigido;municipio_corrigido;estado_corrigido;pais_corrigido;cep_corrigido;status_geocode
Data Center Marechal Rondon;Brazilian Army;-23.5701367;-46.6167762;1;2;Facility;Government;;https://www.datacentermap.com/brazil/sao-paulo/3rd-cta-sao-paulo-data-center/;;;112.0;112.0;2025.0;;Sole-tenant;;;;;;3.0;3.0;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok;R. Oliveira Lima, 375 - Cambuci, São Paulo - SP, 01541-010, Brazil;São Paulo;SP;Brazil;01541-010;OK
ADA Rio de Janeiro;Ada Infrastructure;-22.70650052424456;-43.23743247257072;1;1;Campus;Colocation;;https://www.datacentermap.com/brazil/rio-de-janeiro/ada-rio-de-janeiro/;60.0;60.0;;;;;;;N+1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;ok;ok;R. Nova Friburgo, 1 - Jardim Balneário Ana Clara, Duque de Caxias - RJ, 25221-250, Brazil;Duque de Caxias;RJ;Brazil;25221-250;OK
ADA Sao Paulo;Ada Infrastructure;-23.5902486;-46.6818551;1;1;Campus;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/ada-sao-paulo/;40.0;40.0;;;;;;;N+1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok;Av. Brig. Faria Lima, 3930 - Itaim Bibi, São Paulo - SP, 04538-132, Brazil;São Paulo;SP;Brazil;04538-132;OK
Adentro DC Porto Alegre;ADENTRO DATA CENTER SOLUTIONS LTDA;-30.0134047;-51.2010249;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/porto-alegre/adentro/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok;Av. Bahia, 1258 - Navegantes, Porto Alegre - RS, 90240-552, Brazil;Porto Alegre;RS;Brazil;90240-552;OK
Algar Tech Uberlandia - Jaraguá;Algar Tech;-18.9209149;-48.3090492;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/uberlandia/algar-tech-uberlandia/;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0;1.0;1.0;1.0;0.0;1.0;;0.0;0.0;1.0;1.0;0;0;0;0;0;;;ok;ok;R. Janaúba, 145 - Jaraguá, Uberlândia - MG, 38413-102, Brazil;Uberlândia;MG;Brazil;38413-102;OK
Algar Tech Uberlandia - Granja Marileusa;Algar Tech;-18.8725131;-48.2451629;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/uberlandia/algar-tecnologia/;;;600.0;600.0;;Purpose-built;Sole-tenant;;;;;;;;;;;;;;;;;;0.0;1.0;1.0;1.0;1.0;0.0;1.0;;0.0;0.0;1.0;1.0;0;0;0;1;0;;;ok;ok;Av. Floriano Peixoto, 6500 - Granja Marileusa, Uberlândia - MG, 38406-642, Brazil;Uberlândia;MG;Brazil;38406-642;OK
ODATA RJ01;ODATA, an Aligned Data Centers Company;-22.7966834;-43.3572998;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/rio-de-janeiro/aligned-rj-01/;23.4;23.4;1800.0;1800.0;2023.0;Purpose-built;;;;;;;;;2.0;;;;1.0;;;;;;;;;;;;;;;;;;0;0;0;0;0;RJ-01;13381.0;bloqueado;ok;Rod. Pres. Dutra, 4648 - Venda Velha, São João de Meriti - RJ, 25565-350, Brazil;São João de Meriti;RJ;Brazil;25565-350;OK
ODATA SP01;ODATA, an Aligned Data Centers Company;-23.4550357423391;-46.91510647119536;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/sao-paulo/aligned-sp-01/;19.4;19.4;5600.0;5600.0;2017.0;Purpose-built;;;;;;;3.0;3.0;1.0;1.0;;;1.0;;;2.0;;;0.0;1.0;1.0;1.0;0.0;0.0;1.0;;0.0;0.0;0.0;0.0;0;0;32;4;0;SP-01;3913.0;ok;ok;Estr. dos Romeiros, 943 - Votuparim, Santana de Parnaíba - SP, 06513-001, Brazil;Santana de Parnaíba;SP;Brazil;06513-001;OK
ODATA SP02 Campus;ODATA, an Aligned Data Centers Company;-22.9008002;-47.1935167;1;2;Campus;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/aligned-sp-02/;24.0;24.0;5600.0;5600.0;2020.0;Purpose-built;;;;;;;;;1.0;1.0;1.0;;1.0;;;;;;0.0;1.0;1.0;1.0;0.0;0.0;1.0;;0.0;0.0;0.0;0.0;0;0;1;0;0;SP-02;15093.0;ok;ok;3RX4+MH Hortolândia, São Paulo, Brazil;Hortolândia;SP;Brazil;;OK
ODATA SP03;ODATA, an Aligned Data Centers Company;-23.502083727189984;-46.82507025582267;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/sao-paulo/aligned-sp-03/;3.2;3.2;1800.0;1800.0;2010.0;Retrofitted;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;0;SP-03;;bloqueado;ok;Alameda Araguacema, 187 - Tamboré, Barueri - SP, 06460-070, Brazil;Barueri;SP;Brazil;06460-070;OK
