nome_datacenter;latitude_datacenter;longitude_datacenter;latitude_municipio;longitude_municipio;latitude_similar;longitude_similar;distancia_km;inclinacao_graus;ponto_num;ponto_inclinacao_graus;ponto_latitude;ponto_longitude
ODATA RJ01;-22.7966834;-43.3572998;-22.802581;-43.37215;-23.521149;-46.835509;1.66;66.7;1;0.0;-23.50622;-46.835509
ODATA RJ01;-22.7966834;-43.3572998;-22.802581;-43.37215;-23.521149;-46.835509;1.66;66.7;2;60.0;-23.513684;-46.82141
ODATA RJ01;-22.7966834;-43.3572998;-22.802581;-43.37215;-23.521149;-46.835509;1.66;66.7;3;120.0;-23.528613;-46.821408
ODATA RJ01;-22.7966834;-43.3572998;-22.802581;-43.37215;-23.521149;-46.835509;1.66;66.7;4;180.0;-23.536078;-46.835509
ODATA RJ01;-22.7966834;-43.3572998;-22.802581;-43.37215;-23.521149;-46.835509;1.66;66.7;5;240.0;-23.528613;-46.84961
ODATA RJ01;-22.7966834;-43.3572998;-22.802581;-43.37215;-23.521149;-46.835509;1.66;66.7;6;300.0;-23.513684;-46.849608
ASAP SP1;-23.6761714;-46.6992381;-23.567386;-46.570383;-22.876652;-43.227875;17.85;227.32;1;0.0;-22.716123;-43.227875
ASAP SP1;-23.6761714;-46.6992381;-23.567386;-46.570383;-22.876652;-43.227875;17.85;227.32;2;60.0;-22.796317;-43.077074
ASAP SP1;-23.6761714;-46.6992381;-23.567386;-46.570383;-22.876652;-43.227875;17.85;227.32;3;120.0;-22.956845;-43.076895
ASAP SP1;-23.6761714;-46.6992381;-23.567386;-46.570383;-22.876652;-43.227875;17.85;227.32;4;180.0;-23.037181;-43.227875
ASAP SP1;-23.6761714;-46.6992381;-23.567386;-46.570383;-22.876652;-43.227875;17.85;227.32;5;240.0;-22.956845;-43.378855
ASAP SP1;-23.6761714;-46.6992381;-23.567386;-46.570383;-22.876652;-43.227875;17.85;227.32;6;300.0;-22.796317;-43.378676
Ascenty - Hortolandia HTL4;-22.8948579;-47.1789044;-22.858395;-47.221097;-23.303938;-45.96578;5.93;133.18;1;0.0;-23.250608;-45.96578
Ascenty - Hortolandia HTL4;-22.8948579;-47.1789044;-22.858395;-47.221097;-23.303938;-45.96578;5.93;133.18;2;60.0;-23.277265;-45.915503
Ascenty - Hortolandia HTL4;-22.8948579;-47.1789044;-22.858395;-47.221097;-23.303938;-45.96578;5.93;133.18;3;120.0;-23.330595;-45.915482
Ascenty - Hortolandia HTL4;-22.8948579;-47.1789044;-22.858395;-47.221097;-23.303938;-45.96578;5.93;133.18;4;180.0;-23.357268;-45.96578
Ascenty - Hortolandia HTL4;-22.8948579;-47.1789044;-22.858395;-47.221097;-23.303938;-45.96578;5.93;133.18;5;240.0;-23.330595;-46.016078
Ascenty - Hortolandia HTL4;-22.8948579;-47.1789044;-22.858395;-47.221097;-23.303938;-45.96578;5.93;133.18;6;300.0;-23.277265;-46.016057
Ascenty - Hortolandia HTL5;-22.8958925;-47.1801919;-22.858395;-47.221097;-23.303938;-45.96578;5.91;134.86;1;0.0;-23.250788;-45.96578
Ascenty - Hortolandia HTL5;-22.8958925;-47.1801919;-22.858395;-47.221097;-23.303938;-45.96578;5.91;134.86;2;60.0;-23.277355;-45.915672
Ascenty - Hortolandia HTL5;-22.8958925;-47.1801919;-22.858395;-47.221097;-23.303938;-45.96578;5.91;134.86;3;120.0;-23.330505;-45.915652
Ascenty - Hortolandia HTL5;-22.8958925;-47.1801919;-22.858395;-47.221097;-23.303938;-45.96578;5.91;134.86;4;180.0;-23.357088;-45.96578
Ascenty - Hortolandia HTL5;-22.8958925;-47.1801919;-22.858395;-47.221097;-23.303938;-45.96578;5.91;134.86;5;240.0;-23.330505;-46.015908
Ascenty - Hortolandia HTL5;-22.8958925;-47.1801919;-22.858395;-47.221097;-23.303938;-45.96578;5.91;134.86;6;300.0;-23.277355;-46.015888
Ascenty - Jundiai JDI2;-23.1924667;-46.9729886;-23.185054;-46.884119;-23.306157;-47.132732;9.12;264.8;1;0.0;-23.224139;-47.132732
Ascenty - Jundiai JDI2;-23.1924667;-46.9729886;-23.185054;-46.884119;-23.306157;-47.132732;9.12;264.8;2;60.0;-23.265129;-47.055415
Ascenty - Jundiai JDI2;-23.1924667;-46.9729886;-23.185054;-46.884119;-23.306157;-47.132732;9.12;264.8;3;120.0;-23.347147;-47.055368
Ascenty - Jundiai JDI2;-23.1924667;-46.9729886;-23.185054;-46.884119;-23.306157;-47.132732;9.12;264.8;4;180.0;-23.388175;-47.132732
