aoi_id;candidato_id;similar_rank;municipio_similar;ponto_latitude;ponto_longitude;l1;qualidade;posicao;escolhido
asap-telecom-sao-paulo;asap-telecom-sao-paulo_sim1_p6;1;Rio de Janeiro (RJ);-22.796317;-43.378676;0.41004;ruim;1;True
asap-telecom-sao-paulo;asap-telecom-sao-paulo_sim1_p5;1;Rio de Janeiro (RJ);-22.956845;-43.378855;0.517545;ruim;2;False
asap-telecom-sao-paulo;asap-telecom-sao-paulo_sim2_p4;2;Belo Horizonte (MG);-19.976308;-43.95631;0.593385;ruim;3;False
asap-telecom-sao-paulo;asap-telecom-sao-paulo_sim1_p2;1;Rio de Janeiro (RJ);-22.796317;-43.077074;0.833411;ruim;4;False
asap-telecom-sao-paulo;asap-telecom-sao-paulo_sim2_p5;2;Belo Horizonte (MG);-19.895983;-44.104157;0.850385;ruim;5;False
asap-telecom-sao-paulo;asap-telecom-sao-paulo_sim1_p1;1;Rio de Janeiro (RJ);-22.716123;-43.227875;0.980846;ruim;6;False
asap-telecom-sao-paulo;asap-telecom-sao-paulo_sim1_p3;1;Rio de Janeiro (RJ);-22.956845;-43.076895;1.104175;ruim;7;False
asap-telecom-sao-paulo;asap-telecom-sao-paulo_sim2_p1;2;Belo Horizonte (MG);-19.65525;-43.95631;1.200941;ruim;8;False
asap-telecom-sao-paulo;asap-telecom-sao-paulo_sim2_p6;2;Belo Horizonte (MG);-19.735454;-44.104008;1.210881;ruim;9;False
asap-telecom-sao-paulo;asap-telecom-sao-paulo_sim2_p3;2;Belo Horizonte (MG);-19.895983;-43.808463;1.40792;ruim;10;False
asap-telecom-sao-paulo;asap-telecom-sao-paulo_sim2_p2;2;Belo Horizonte (MG);-19.735454;-43.808612;1.529834;ruim;11;False
asap-telecom-sao-paulo;asap-telecom-sao-paulo_sim1_p4;1;Rio de Janeiro (RJ);-23.037181;-43.227875;1.582016;ruim;12;False
ascenty-data-centers-hortolandia;ascenty-data-centers-hortolandia_sim1_p2;1;Jacareí (SP);-23.277445;-45.915842;0.11422;aceitavel;1;True
ascenty-data-centers-hortolandia;ascenty-data-centers-hortolandia_sim2_p5;2;Taubaté (SP);-23.05154;-45.605075;0.227137;ruim;2;False
ascenty-data-centers-hortolandia;ascenty-data-centers-hortolandia_sim2_p1;2;Taubaté (SP);-22.972093;-45.555221;0.324787;ruim;3;False
ascenty-data-centers-hortolandia;ascenty-data-centers-hortolandia_sim2_p6;2;Taubaté (SP);-22.99857;-45.605056;0.343329;ruim;4;False
ascenty-data-centers-hortolandia;ascenty-data-centers-hortolandia_sim1_p1;1;Jacareí (SP);-23.250968;-45.96578;0.459561;ruim;5;False
ascenty-data-centers-hortolandia;ascenty-data-centers-hortolandia_sim2_p2;2;Taubaté (SP);-22.99857;-45.505386;0.499613;ruim;6;False
ascenty-data-centers-hortolandia;ascenty-data-centers-hortolandia_sim1_p5;1;Jacareí (SP);-23.330415;-46.015738;0.619524;ruim;7;False
ascenty-data-centers-hortolandia;ascenty-data-centers-hortolandia_sim1_p6;1;Jacareí (SP);-23.277445;-46.015718;0.62001;ruim;8;False
ascenty-data-centers-hortolandia;ascenty-data-centers-hortolandia_sim2_p4;2;Taubaté (SP);-23.078033;-45.555221;0.628725;ruim;9;False
ascenty-data-centers-hortolandia;ascenty-data-centers-hortolandia_sim1_p3;1;Jacareí (SP);-23.330415;-45.915822;0.724545;ruim;10;False
ascenty-data-centers-hortolandia;ascenty-data-centers-hortolandia_sim2_p3;2;Taubaté (SP);-23.05154;-45.505367;0.730686;ruim;11;False
ascenty-data-centers-hortolandia;ascenty-data-centers-hortolandia_sim1_p4;1;Jacareí (SP);-23.356908;-45.96578;0.841495;ruim;12;False
ascenty-data-centers-jundiai;ascenty-data-centers-jundiai_sim1_p2;1;Cabreúva (SP);-23.265129;-47.055415;0.27858;ruim;1;True
ascenty-data-centers-jundiai;ascenty-data-centers-jundiai_sim1_p6;1;Cabreúva (SP);-23.265129;-47.210049;0.466965;ruim;2;False
ascenty-data-centers-jundiai;ascenty-data-centers-jundiai_sim1_p4;1;Cabreúva (SP);-23.388175;-47.132732;0.52755;ruim;3;False
ascenty-data-centers-jundiai;ascenty-data-centers-jundiai_sim1_p1;1;Cabreúva (SP);-23.224139;-47.132732;0.553144;ruim;4;False
ascenty-data-centers-jundiai;ascenty-data-centers-jundiai_sim1_p5;1;Cabreúva (SP);-23.347147;-47.210096;0.643951;ruim;5;False
ascenty-data-centers-jundiai;ascenty-data-centers-jundiai_sim1_p3;1;Cabreúva (SP);-23.347147;-47.055368;0.826091;ruim;6;False
ascenty-data-centers-jundiai;ascenty-data-centers-jundiai_sim2_p3;2;São Caetano do Sul (SP);-23.66269;-46.473512;1.041421;ruim;7;False
ascenty-data-centers-jundiai;ascenty-data-centers-jundiai_sim2_p2;2;São Caetano do Sul (SP);-23.580672;-46.473561;1.115492;ruim;8;False
ascenty-data-centers-jundiai;ascenty-data-centers-jundiai_sim2_p4;2;São Caetano do Sul (SP);-23.703718;-46.551062;1.153378;ruim;9;False
ascenty-data-centers-jundiai;ascenty-data-centers-jundiai_sim2_p5;2;São Caetano do Sul (SP);-23.66269;-46.628612;1.296617;ruim;10;False
ascenty-data-centers-jundiai;ascenty-data-centers-jundiai_sim2_p6;2;São Caetano do Sul (SP);-23.580672;-46.628563;1.402162;ruim;11;False
ascenty-data-centers-jundiai;ascenty-data-centers-jundiai_sim2_p1;2;São Caetano do Sul (SP);-23.539682;-46.551062;1.412446;ruim;12;False
ascenty-data-centers-osasco;ascenty-data-centers-osasco_sim1_p3;1;Jundiaí (SP);-23.206632;-46.843444;0.380442;ruim;1;True
ascenty-data-centers-osasco;ascenty-data-centers-osasco_sim1_p4;1;Jundiaí (SP);-23.228221;-46.884119;0.520903;ruim;2;False
ascenty-data-centers-osasco;ascenty-data-centers-osasco_sim1_p6;1;Jundiaí (SP);-23.163465;-46.924781;0.531244;ruim;3;False
ascenty-data-centers-osasco;ascenty-data-centers-osasco_sim1_p5;1;Jundiaí (SP);-23.206632;-46.924794;0.566918;ruim;4;False
ascenty-data-centers-osasco;ascenty-data-centers-osasco_sim1_p2;1;Jundiaí (SP);-23.163465;-46.843457;0.576619;ruim;5;False
ascenty-data-centers-osasco;ascenty-data-centers-osasco_sim2_p3;2;Santos (SP);-23.981042;-46.292646;0.607059;ruim;6;False
ascenty-data-centers-osasco;ascenty-data-centers-osasco_sim1_p1;1;Jundiaí (SP);-23.141887;-46.884119;0.626631;ruim;7;False
ascenty-data-centers-osasco;ascenty-data-centers-osasco_sim2_p6;2;Santos (SP);-23.937875;-46.374464;0.632489;ruim;8;False
ascenty-data-centers-osasco;ascenty-data-centers-osasco_sim2_p2;2;Santos (SP);-23.937875;-46.29266;0.718713;ruim;9;False
ascenty-data-centers-osasco;ascenty-data-centers-osasco_sim2_p1;2;Santos (SP);-23.916297;-46.333562;0.812293;ruim;10;False
ascenty-data-centers-osasco;ascenty-data-centers-osasco_sim2_p5;2;Santos (SP);-23.981042;-46.374478;0.895404;ruim;11;False
ascenty-data-centers-osasco;ascenty-data-centers-osasco_sim2_p4;2;Santos (SP);-24.002631;-46.333562;1.318236;ruim;12;False
ascenty-data-centers-paulinia;ascenty-data-centers-paulinia_sim1_p4;1;Louveira (SP);-23.126246;-46.950508;0.179404;aceitavel;1;True
ascenty-data-centers-paulinia;ascenty-data-centers-paulinia_sim1_p6;1;Louveira (SP);-23.064458;-46.989278;0.203535;ruim;2;False
ascenty-data-centers-paulinia;ascenty-data-centers-paulinia_sim1_p5;1;Louveira (SP);-23.105647;-46.98929;0.276772;ruim;3;False
ascenty-data-centers-paulinia;ascenty-data-centers-paulinia_sim1_p1;1;Louveira (SP);-23.043868;-46.950508;0.361062;ruim;4;False
ascenty-data-centers-paulinia;ascenty-data-centers-paulinia_sim1_p3;1;Louveira (SP);-23.105647;-46.911726;0.486309;ruim;5;False
ascenty-data-centers-paulinia;ascenty-data-centers-paulinia_sim1_p2;1;Louveira (SP);-23.064458;-46.911738;0.596626;ruim;6;False
ascenty-data-centers-paulinia;ascenty-data-centers-paulinia_sim2_p6;2;São Gonçalo do Rio Abaixo (MG);-19.811203;-43.385955;0.90327;ruim;7;False
ascenty-data-centers-paulinia;ascenty-data-centers-paulinia_sim2_p1;2;São Gonçalo do Rio Abaixo (MG);-19.790612;-43.34804;0.905425;ruim;8;False
ascenty-data-centers-paulinia;ascenty-data-centers-paulinia_sim2_p3;2;São Gonçalo do Rio Abaixo (MG);-19.852391;-43.310116;1.029918;ruim;9;False
ascenty-data-centers-paulinia;ascenty-data-centers-paulinia_sim2_p5;2;São Gonçalo do Rio Abaixo (MG);-19.852391;-43.385964;1.049709;ruim;10;False
ascenty-data-centers-paulinia;ascenty-data-centers-paulinia_sim2_p2;2;São Gonçalo do Rio Abaixo (MG);-19.811203;-43.310125;1.051382;ruim;11;False
ascenty-data-centers-paulinia;ascenty-data-centers-paulinia_sim2_p4;2;São Gonçalo do Rio Abaixo (MG);-19.87299;-43.34804;1.069896;ruim;12;False
ascenty-data-centers-rio-de-janeiro;ascenty-data-centers-rio-de-janeiro_sim2_p3;2;Guarulhos (SP);-23.527479;-46.408416;0.055127;bom;1;True
ascenty-data-centers-rio-de-janeiro;ascenty-data-centers-rio-de-janeiro_sim2_p4;2;Guarulhos (SP);-23.593629;-46.533285;0.111469;aceitavel;2;False
ascenty-data-centers-rio-de-janeiro;ascenty-data-centers-rio-de-janeiro_sim2_p5;2;Guarulhos (SP);-23.527479;-46.658154;0.120362;aceitavel;3;False
ascenty-data-centers-rio-de-janeiro;ascenty-data-centers-rio-de-janeiro_sim1_p4;1;Belo Horizonte (MG);-19.947979;-43.95631;0.254271;ruim;4;False
ascenty-data-centers-rio-de-janeiro;ascenty-data-centers-rio-de-janeiro_sim1_p5;1;Belo Horizonte (MG);-19.881838;-44.078055;0.997054;ruim;5;False
ascenty-data-centers-rio-de-janeiro;ascenty-data-centers-rio-de-janeiro_sim2_p2;2;Guarulhos (SP);-23.395279;-46.408541;1.004942;ruim;6;False
ascenty-data-centers-rio-de-janeiro;ascenty-data-centers-rio-de-janeiro_sim1_p1;1;Belo Horizonte (MG);-19.683579;-43.95631;1.284609;ruim;7;False
ascenty-data-centers-rio-de-janeiro;ascenty-data-centers-rio-de-janeiro_sim1_p3;1;Belo Horizonte (MG);-19.881838;-43.834565;1.408814;ruim;8;False
ascenty-data-centers-rio-de-janeiro;ascenty-data-centers-rio-de-janeiro_sim1_p6;1;Belo Horizonte (MG);-19.749638;-44.077954;1.479445;ruim;9;False
ascenty-data-centers-rio-de-janeiro;ascenty-data-centers-rio-de-janeiro_sim1_p2;1;Belo Horizonte (MG);-19.749638;-43.834666;1.537397;ruim;10;False
ascenty-data-centers-rio-de-janeiro;ascenty-data-centers-rio-de-janeiro_sim2_p1;2;Guarulhos (SP);-23.329229;-46.533285;1.688322;ruim;11;False
ascenty-data-centers-rio-de-janeiro;ascenty-data-centers-rio-de-janeiro_sim2_p6;2;Guarulhos (SP);-23.395279;-46.658029;1.702088;ruim;12;False
ascenty-data-centers-sumare;ascenty-data-centers-sumare_sim2_p4;2;Piracicaba (SP);-22.773814;-47.646846;0.094317;bom;1;True
ascenty-data-centers-sumare;ascenty-data-centers-sumare_sim2_p1;2;Piracicaba (SP);-22.67363;-47.646846;0.12315;aceitavel;2;False
ascenty-data-centers-sumare;ascenty-data-centers-sumare_sim2_p3;2;Piracicaba (SP);-22.748761;-47.599806;0.126676;aceitavel;3;False
ascenty-data-centers-sumare;ascenty-data-centers-sumare_sim2_p6;2;Piracicaba (SP);-22.698669;-47.693869;0.140144;aceitavel;4;False
ascenty-data-centers-sumare;ascenty-data-centers-sumare_sim2_p2;2;Piracicaba (SP);-22.698669;-47.599823;0.189327;aceitavel;5;False
ascenty-data-centers-sumare;ascenty-data-centers-sumare_sim1_p4;1;Indaiatuba (SP);-23.139037;-47.21801;0.265885;ruim;6;False
ascenty-data-centers-sumare;ascenty-data-centers-sumare_sim2_p5;2;Piracicaba (SP);-22.748761;-47.693886;0.321971;ruim;7;False
