id_municipio,nome_municipio,sigla_uf,regiao,populacao,pib_per_capita,pct_va_servicos,pct_va_industria,pct_va_agropecuaria,pct_impostos,id_municipio_similar_1,municipio_similar_1,percentual_similaridade_1,id_municipio_similar_2,municipio_similar_2,percentual_similaridade_2,id_municipio_similar_3,municipio_similar_3,percentual_similaridade_3
1100015,Alta Floresta D'Oeste,RO,Norte,23716.5,23114.291666666668,0.24521666666666667,0.04633333333333334,0.35638333333333333,0.05753333333333333,1707108,Divinópolis do Tocantins (TO),86.39,1501725,Brasil Novo (PA),83.14,1100148,Nova Brasilândia D'Oeste (RO),82.81
1100023,Ariquemes,RO,Norte,107990.5,23947.376666666667,0.4175333333333333,0.13733333333333334,0.07218333333333334,0.10808333333333332,1503606,Itaituba (PA),79.85,1100049,Cacoal (RO),77.17,1100114,Jaru (RO),72.89
1100031,Cabixi,RO,Norte,5586.333333333333,29141.99166666667,0.17046666666666668,0.032650000000000005,0.47354999999999997,0.042133333333333335,1706258,Crixás do Tocantins (TO),92.53,1718840,Sandolândia (TO),86.99,1701101,Aparecida do Rio Negro (TO),86.51
1100049,Cacoal,RO,Norte,86477.5,26580.833333333332,0.44425,0.10008333333333334,0.10301666666666666,0.11018333333333334,1100023,Ariquemes (RO),77.17,1705508,Colinas do Tocantins (TO),74.82,1100114,Jaru (RO),72.26
1100056,Cerejeiras,RO,Norte,16825.333333333332,31687.718333333334,0.43789999999999996,0.04318333333333333,0.15073333333333333,0.15105,1200252,Epitaciolândia (AC),80.49,1100106,Guajará-Mirim (RO),64.25,1714880,Nova Olinda (TO),59.01
1100064,Colorado do Oeste,RO,Norte,16662.0,21199.603333333333,0.30346666666666666,0.07613333333333333,0.2412,0.06565,1715754,Palmeirópolis (TO),79.6,1703107,Barrolândia (TO),77.38,1707009,Dianópolis (TO),77.3
1100072,Corumbiara,RO,Norte,7773.0,41418.345,0.10768333333333334,0.03398333333333333,0.6373,0.0347,1703701,Brejinho de Nazaré (TO),79.87,1100262,Rio Crespo (RO),72.5,1501253,Bannach (PA),71.27
1100080,Costa Marques,RO,Norte,18111.666666666668,13438.955000000002,0.18325,0.0256,0.30573333333333336,0.0347,1715002,Nova Rosalândia (TO),88.77,1716653,Pequizeiro (TO),88.07,1505494,Palestina do Pará (PA),87.09
1100098,Espigão D'Oeste,RO,Norte,32644.5,19296.008333333335,0.30023333333333335,0.08539999999999999,0.21738333333333335,0.08491666666666665,1718451,Pugmil (TO),83.89,1100254,Presidente Médici (RO),80.18,1502954,Eldorado do Carajás (PA),77.73
1100106,Guajará-Mirim,RO,Norte,46657.0,18885.548333333332,0.42991666666666667,0.035783333333333334,0.06221666666666666,0.14273333333333335,1200252,Epitaciolândia (AC),75.42,1502202,Capanema (PA),64.68,1100056,Cerejeiras (RO),64.25
