destino;site_id;ano;sensor;prop_vegetacao_densa;prop_vegetacao_rala;prop_solo_exposto_obras;prop_construida_urbana;prop_agua;pct_pixels_validos
tratamento;asap-telecom-sao-paulo;2016;landsat;0.050194;0.110437;0.003308;0.674346;0.161715;99.9928
tratamento;asap-telecom-sao-paulo;2017;landsat;0.04384;0.114263;0.002881;0.678085;0.16093;99.8844
tratamento;asap-telecom-sao-paulo;2018;landsat;0.049353;0.12793;0.002532;0.663327;0.156858;99.8431
tratamento;ascenty-data-centers-hortolandia;2015;landsat;0.094475;0.401543;0.010664;0.490045;0.003274;99.9498
tratamento;ascenty-data-centers-hortolandia;2016;landsat;0.080856;0.403552;0.010705;0.50182;0.003066;99.9785
tratamento;ascenty-data-centers-hortolandia;2017;landsat;0.055506;0.392386;0.011761;0.537613;0.002734;100.0
tratamento;ascenty-data-centers-jundiai;2016;landsat;0.337123;0.389779;0.022421;0.244953;0.005724;99.3166
tratamento;ascenty-data-centers-jundiai;2017;landsat;0.30727;0.403756;0.022061;0.261775;0.005138;99.8886
tratamento;ascenty-data-centers-jundiai;2018;landsat;0.322882;0.418158;0.017213;0.236646;0.005101;99.7532
tratamento;ascenty-data-centers-osasco;2017;landsat;0.204422;0.153683;0.00724;0.626522;0.008133;99.9964
tratamento;ascenty-data-centers-osasco;2018;landsat;0.214934;0.157902;0.006356;0.613773;0.007035;99.9794
tratamento;ascenty-data-centers-osasco;2019;landsat;0.22918;0.152561;0.006319;0.603021;0.008919;100.0
tratamento;ascenty-data-centers-paulinia;2016;landsat;0.090327;0.50037;0.008626;0.388389;0.012288;100.0
tratamento;ascenty-data-centers-paulinia;2017;landsat;0.071775;0.508122;0.010247;0.39951;0.010345;100.0
tratamento;ascenty-data-centers-paulinia;2018;landsat;0.103587;0.477585;0.008893;0.399964;0.009971;100.0
tratamento;ascenty-data-centers-rio-de-janeiro;2015;landsat;0.027457;0.064802;0.001497;0.902444;0.003801;100.0
tratamento;ascenty-data-centers-rio-de-janeiro;2016;landsat;0.023083;0.070081;0.00173;0.901825;0.003281;100.0
tratamento;ascenty-data-centers-rio-de-janeiro;2017;landsat;0.034661;0.067108;0.004868;0.890627;0.002735;99.9821
tratamento;ascenty-data-centers-sumare;2014;landsat;0.028882;0.442223;0.028784;0.494382;0.00573;99.9812
tratamento;ascenty-data-centers-sumare;2015;landsat;0.05433;0.455429;0.019617;0.463419;0.007204;100.0
tratamento;ascenty-data-centers-sumare;2016;landsat;0.045751;0.437228;0.018456;0.490209;0.008356;99.9991
tratamento;equinix-santana-de-parnaiba;2017;landsat;0.327859;0.243709;0.007315;0.40767;0.013447;99.9955
tratamento;equinix-santana-de-parnaiba;2018;landsat;0.338142;0.245389;0.007343;0.395972;0.013153;99.9794
tratamento;equinix-santana-de-parnaiba;2019;landsat;0.364023;0.22889;0.008175;0.38482;0.014092;100.0
tratamento;hosting-now-curitiba;2016;landsat;0.040854;0.114377;0.001741;0.839707;0.003321;99.879
tratamento;hosting-now-curitiba;2017;landsat;0.031554;0.10877;0.002098;0.854163;0.003415;100.0
tratamento;hosting-now-curitiba;2018;landsat;0.038276;0.119978;0.001929;0.836291;0.003526;99.9086
tratamento;idx-data-centers-&-it-services-palmas;2016;landsat;0.087035;0.330214;0.025438;0.324687;0.232627;99.9041
tratamento;idx-data-centers-&-it-services-palmas;2017;landsat;0.092061;0.321005;0.030792;0.322923;0.233219;100.0
tratamento;idx-data-centers-&-it-services-palmas;2018;landsat;0.13307;0.300183;0.020458;0.314666;0.231622;99.7723
