pixel_id,linha,coluna,blue,green,red,nir,swir1,swir2,ndvi,evi,ndwi,mndwi,ndbi,bsi,ndmi,sensor_landsat
px_01,28,235,0.0303,0.0538,0.056,0.2308,0.1528,0.099,0.6095,0.3262,-0.6219,-0.4792,-0.2033,-0.1113,0.2033,1.0
px_02,258,162,0.0138,0.0221,0.015,0.1649,0.0804,0.0333,0.8332,0.3255,-0.7636,-0.5688,-0.3445,-0.3039,0.3445,1.0
px_03,29,270,0.0677,0.1011,0.1408,0.214,0.2838,0.2363,0.2063,0.118,-0.3583,-0.4747,0.1402,0.2023,-0.1402,1.0
px_04,218,207,0.0242,0.0496,0.0439,0.3049,0.184,0.0892,0.7483,0.4705,-0.7202,-0.5753,-0.2473,-0.1817,0.2473,1.0
px_05,146,191,0.0107,0.0244,0.017,0.1819,0.0891,0.0418,0.8291,0.3425,-0.7635,-0.57,-0.3424,-0.2896,0.3424,1.0
px_06,144,205,0.0304,0.0508,0.0471,0.1861,0.1277,0.0831,0.5961,0.2801,-0.5711,-0.4308,-0.1861,-0.1066,0.1861,1.0
px_07,232,308,0.0315,0.045,0.0491,0.1434,0.1037,0.0828,0.4899,0.1962,-0.5223,-0.3948,-0.1607,-0.0674,0.1607,1.0
px_08,31,152,0.043,0.0752,0.0773,0.3054,0.2603,0.1437,0.596,0.3942,-0.6048,-0.5517,-0.0797,-0.0157,0.0797,1.0
px_09,67,96,0.0614,0.1067,0.1203,0.3876,0.3442,0.2004,0.5263,0.4053,-0.5683,-0.5267,-0.0593,0.017,0.0593,1.0
px_10,286,255,0.0613,0.0895,0.0946,0.218,0.1857,0.1396,0.3948,0.2327,-0.4179,-0.3496,-0.08,0.0018,0.08,1.0
