site_id,ano,n_pixels_comparados,pct_concordancia_geral,n_pixels_borda,pct_concordancia_borda,n_pixels_interior,pct_concordancia_interior,concordancia_classe_vegetacao_densa,concordancia_classe_vegetacao_rala,concordancia_classe_solo_exposto_obras,concordancia_classe_construida_urbana,concordancia_classe_agua
angonap-fortaleza,2019,111372,89.369,26773,68.166,84599,96.079,78.03921568627452,74.40944881889764,88.84816753926701,77.5762020150491,99.72232444548526
angonap-fortaleza,2020,111272,89.261,27850,68.725,83422,96.116,77.55558663124039,74.94024962379393,89.35185185185185,77.04865454312197,99.784819702446
angonap-fortaleza,2021,111211,88.757,26284,67.524,84927,95.328,83.44522429050961,72.56181634341392,88.75106928999145,75.01946979844864,99.74384468899038
ascenty-hortolandia,2019,111548,77.376,55642,65.781,55906,88.915,79.32774709579128,88.55284978615694,87.69083969465649,67.16925076594559,96.82539682539682
ascenty-hortolandia,2020,111555,74.792,53259,62.883,58296,85.671,82.28235294117647,88.3302187534352,88.70703764320785,62.24356799800032,93.51032448377582
ascenty-hortolandia,2021,111550,69.824,50766,56.764,60784,80.732,87.51042535446206,85.90602409638554,83.14785373608903,57.65796864947985,93.9622641509434
ascenty-jundiai,2019,111455,78.974,54702,65.749,56753,91.72,92.2006723558314,85.96083859876309,90.83591331269349,45.9181694783789,93.6241610738255
ascenty-jundiai,2020,111446,76.429,54112,62.908,57334,89.19,88.4486636330352,86.86065265902212,91.54624277456648,39.34084594010497,89.24731182795699
ascenty-jundiai,2021,111538,72.087,55952,59.48,55586,84.777,91.23629593877129,82.29992790194665,88.95348837209302,35.688859591298616,90.37037037037037
ascenty-maracanau,2019,111660,73.992,71197,64.487,40463,90.715,40.095,67.54723707664884,57.5037147102526,87.41714172080074,96.99190127265716
ascenty-maracanau,2020,111876,74.435,65395,63.505,46481,89.813,33.69951872776731,71.49032208706296,69.43181818181819,87.13875810465909,96.5374482499059
ascenty-maracanau,2021,111879,76.113,61720,63.923,50159,91.114,42.938583602703496,75.22662261794449,78.04154302670624,84.1439703377696,97.87052810902897
ascenty-osasco,2019,111890,80.929,43819,63.119,68071,92.393,94.04429925902319,59.351370510396976,86.82065217391305,81.25605566810535,90.25844930417495
ascenty-osasco,2020,111688,81.296,41700,63.151,69988,92.107,94.10212429080353,63.01346120515339,88.26335877862596,81.59341454240328,79.55163043478261
ascenty-osasco,2021,111887,79.529,40891,60.529,70996,90.473,92.19322017781582,63.96621123646465,91.27906976744185,79.34979435421609,88.87711864406779
ascenty-paulinia,2019,111556,72.99,61277,63.389,50279,84.691,79.45165945165945,86.56045899036553,74.90247074122237,51.545270236859025,95.92417061611374
ascenty-paulinia,2020,111556,69.709,59987,60.243,51569,80.721,87.26484691995573,85.47109265940281,79.04255319148936,44.606146723809964,97.04081632653062
ascenty-paulinia,2021,111556,66.345,59374,55.162,52182,79.069,88.53851691864651,84.09486751899203,71.53792623521225,42.72300469483568,92.84876905041031
ascenty-sumare,2019,111889,76.261,52941,63.614,58948,87.62,87.01179353652932,88.90973564231975,87.87878787878788,60.519831973503514,97.69911504424779
ascenty-sumare,2020,111890,72.83,51176,60.194,60714,83.482,86.64218498967179,88.05077836872549,90.8260689082607,55.8760945297053,98.20359281437126
ascenty-sumare,2021,111890,69.02,52044,55.044,59846,81.175,92.05978514712751,86.09053329513362,85.84035298836743,52.79874268147355,97.34151329243353
ascenty-vinhedo,2019,111885,78.649,66723,68.161,45162,94.143,82.24882666454538,87.81792052404666,84.9702380952381,52.0588117141365,92.44011976047904
ascenty-vinhedo,2020,111783,76.783,63230,65.562,48553,91.395,75.57491915199425,88.34434127819789,91.43145161290323,46.80738139952641,92.96817172464841
ascenty-vinhedo,2021,111886,75.005,62421,62.823,49465,90.377,81.3265365910822,87.52998358793081,86.3849765258216,42.91550794795207,91.66004765687053
clickip-manaus,2019,111732,82.248,51329,69.08,60403,93.437,77.80007296607077,64.9869726703254,60.204081632653065,87.44908616187989,66.10169491525424
clickip-manaus,2020,111890,82.259,39928,64.899,71962,91.892,76.73028408467698,76.17274097721025,52.23880597014925,84.4800234300637,57.142857142857146
clickip-manaus,2021,111890,83.265,49461,69.473,62429,94.192,73.10526598891937,70.37747524752476,64.81113320079523,88.57639024899787,75.51020408163265
equinix-santana-parnaiba,2019,111890,76.597,60497,64.445,51393,90.901,92.11267605633803,67.49626679940269,86.58385093167702,66.20637293283033,94.55676516329704
