site_id,ano_overlap,classe_id,classe_nome,area_landsat_2018_ha,area_landsat_ano_ha,area_s2_ano_ha,degrau_publicado_ha,degrau_publicado_pp,controle_real_landsat_ha,artefato_sensor_ha,razao_artefato_sobre_controle,veredito
angonap-fortaleza,2019,1,vegetacao_densa,581.4,642.6,632.22,50.82,0.4927,61.2,-10.38,0.17,DISTINGUIVEL
angonap-fortaleza,2019,2,vegetacao_rala,947.43,1005.84,966.99,19.56,0.1729,58.41,-38.85,0.665,NAO_DISTINGUIVEL
angonap-fortaleza,2019,3,solo_exposto_obras,214.2,171.9,882.56,668.36,6.652,-42.3,710.66,16.8,NAO_DISTINGUIVEL
angonap-fortaleza,2019,4,construida_urbana,2896.74,2822.76,2133.94,-762.8,-7.6645,-73.98,-688.82,9.311,NAO_DISTINGUIVEL
angonap-fortaleza,2019,5,agua,5377.05,5380.38,5424.33,47.28,0.3468,3.33,43.95,13.198,NAO_DISTINGUIVEL
angonap-fortaleza,2020,1,vegetacao_densa,581.4,643.59,626.16,44.76,0.4324,62.19,-17.43,0.28,DISTINGUIVEL
angonap-fortaleza,2020,2,vegetacao_rala,947.43,1016.73,1003.06,55.63,0.5322,69.3,-13.67,0.197,DISTINGUIVEL
angonap-fortaleza,2020,3,solo_exposto_obras,214.2,194.4,896.42,682.22,6.79,-19.8,702.02,35.456,NAO_DISTINGUIVEL
angonap-fortaleza,2020,4,construida_urbana,2896.74,2806.11,2103.83,-792.91,-7.9644,-90.63,-702.28,7.749,NAO_DISTINGUIVEL
angonap-fortaleza,2020,5,agua,5377.05,5353.65,5410.57,33.52,0.2097,-23.4,56.92,2.432,NAO_DISTINGUIVEL
angonap-fortaleza,2021,1,vegetacao_densa,581.4,589.86,640.51,59.11,0.5753,8.46,50.65,5.987,NAO_DISTINGUIVEL
angonap-fortaleza,2021,2,vegetacao_rala,947.43,979.11,902.49,-44.94,-0.4695,31.68,-76.62,2.419,NAO_DISTINGUIVEL
angonap-fortaleza,2021,3,solo_exposto_obras,214.2,210.42,993.09,778.89,7.7529,-3.78,782.67,207.056,NAO_DISTINGUIVEL
angonap-fortaleza,2021,4,construida_urbana,2896.74,2889.09,2112.48,-784.26,-7.8782,-7.65,-776.61,101.518,NAO_DISTINGUIVEL
angonap-fortaleza,2021,5,agua,5377.05,5340.51,5391.47,14.42,0.0195,-36.54,50.96,1.395,NAO_DISTINGUIVEL
ascenty-hortolandia,2019,1,vegetacao_densa,607.05,945.18,941.95,334.9,3.3355,338.13,-3.23,0.01,DISTINGUIVEL
ascenty-hortolandia,2019,2,vegetacao_rala,4085.64,4124.52,4161.63,75.99,0.7558,38.88,37.11,0.954,NAO_DISTINGUIVEL
ascenty-hortolandia,2019,3,solo_exposto_obras,116.28,94.32,1556.93,1440.65,14.349,-21.96,1462.61,66.603,NAO_DISTINGUIVEL
ascenty-hortolandia,2019,4,construida_urbana,5202.18,4846.95,3321.29,-1880.89,-18.7353,-355.23,-1525.66,4.295,NAO_DISTINGUIVEL
ascenty-hortolandia,2019,5,agua,28.62,28.35,58.24,29.62,0.295,-0.27,29.89,110.704,NAO_DISTINGUIVEL
ascenty-hortolandia,2020,1,vegetacao_densa,607.05,765.0,812.06,205.01,2.0418,157.95,47.06,0.298,DISTINGUIVEL
ascenty-hortolandia,2020,2,vegetacao_rala,4085.64,4093.65,4064.09,-21.55,-0.2157,8.01,-29.56,3.69,NAO_DISTINGUIVEL
ascenty-hortolandia,2020,3,solo_exposto_obras,116.28,109.98,1865.1,1748.82,17.4184,-6.3,1755.12,278.59,NAO_DISTINGUIVEL
ascenty-hortolandia,2020,4,construida_urbana,5202.18,5040.81,3245.53,-1956.65,-19.4899,-161.37,-1795.28,11.125,NAO_DISTINGUIVEL
