site_id,ano,classe_id,classe_nome,area_landsat_ha,area_s2_nativo_ha,area_s2_agregado30_ha,diff_total_ha,diff_total_pp,diff_resolucao_ha,diff_resolucao_pp,diff_sensor_isolado_ha,diff_sensor_isolado_pp
angonap-fortaleza,2019,1,vegetacao_densa,1195.56,980.75,1001.07,-214.81,-2.1592,20.32,0.2024,-194.49,-1.9568
angonap-fortaleza,2019,2,vegetacao_rala,889.65,541.91,506.61,-347.74,-3.4782,-35.3,-0.3516,-383.04,-3.8298
angonap-fortaleza,2019,3,solo_exposto_obras,467.91,440.78,313.56,-27.13,-0.2779,-127.22,-1.2671,-154.35,-1.545
angonap-fortaleza,2019,4,construida_urbana,1992.6,2643.01,2794.86,650.41,6.4454,151.85,1.5124,802.26,7.9578
angonap-fortaleza,2019,5,agua,5477.76,5433.59,5423.94,-44.17,-0.5301,-9.65,-0.0961,-53.82,-0.6262
angonap-fortaleza,2020,1,vegetacao_densa,1184.4,1016.19,1036.17,-168.21,-1.7055,19.98,0.199,-148.23,-1.5065
angonap-fortaleza,2020,2,vegetacao_rala,894.96,537.53,497.7,-357.43,-3.5828,-39.83,-0.3967,-397.26,-3.9795
angonap-fortaleza,2020,3,solo_exposto_obras,467.91,469.82,347.85,1.91,0.0071,-121.97,-1.2148,-120.06,-1.2077
angonap-fortaleza,2020,4,construida_urbana,2027.61,2609.52,2761.47,581.91,5.7443,151.95,1.5134,733.86,7.2578
angonap-fortaleza,2020,5,agua,5439.6,5406.98,5396.85,-32.62,-0.4632,-10.13,-0.1009,-42.75,-0.5641
angonap-fortaleza,2021,1,vegetacao_densa,1061.73,941.74,957.15,-119.99,-1.2279,15.41,0.1535,-104.58,-1.0744
angonap-fortaleza,2021,2,vegetacao_rala,970.2,573.56,545.49,-396.64,-3.9806,-28.07,-0.2796,-424.71,-4.2601
angonap-fortaleza,2021,3,solo_exposto_obras,599.85,505.77,366.48,-94.08,-0.9556,-139.29,-1.3873,-233.37,-2.3429
angonap-fortaleza,2021,4,construida_urbana,1970.37,2623.28,2782.98,652.91,6.4422,159.7,1.5906,812.61,8.0328
angonap-fortaleza,2021,5,agua,5406.84,5395.69,5387.94,-11.15,-0.2781,-7.75,-0.0772,-18.9,-0.3553
ascenty-hortolandia,2019,1,vegetacao_densa,2465.19,2095.34,2107.53,-369.85,-3.6855,12.19,0.1214,-357.66,-3.5641
ascenty-hortolandia,2019,2,vegetacao_rala,3338.01,3083.48,3065.4,-254.53,-2.5375,-18.08,-0.1801,-272.61,-2.7176
ascenty-hortolandia,2019,3,solo_exposto_obras,392.31,434.76,265.59,42.45,0.4225,-169.17,-1.685,-126.72,-1.2624
ascenty-hortolandia,2019,4,construida_urbana,3631.32,4340.67,4535.55,709.35,7.0626,194.88,1.941,904.23,9.0036
ascenty-hortolandia,2019,5,agua,212.49,85.79,65.97,-126.7,-1.2621,-19.82,-0.1974,-146.52,-1.4595
ascenty-hortolandia,2020,1,vegetacao_densa,2088.72,1752.25,1771.74,-336.47,-3.3515,19.49,0.1941,-316.98,-3.1573
ascenty-hortolandia,2020,2,vegetacao_rala,3503.34,3282.78,3275.46,-220.56,-2.1971,-7.32,-0.0729,-227.88,-2.27
ascenty-hortolandia,2020,3,solo_exposto_obras,491.22,568.04,363.6,76.82,0.7651,-204.44,-2.0362,-127.62,-1.2712
ascenty-hortolandia,2020,4,construida_urbana,3753.0,4359.86,4570.2,606.86,6.0441,210.34,2.095,817.2,8.1391
ascenty-hortolandia,2020,5,agua,203.67,77.11,59.04,-126.56,-1.2606,-18.07,-0.18,-144.63,-1.4406
ascenty-hortolandia,2021,1,vegetacao_densa,1674.63,1441.08,1453.59,-233.55,-2.3271,12.51,0.1246,-221.04,-2.2025
ascenty-hortolandia,2021,2,vegetacao_rala,3418.2,3304.68,3313.53,-113.52,-1.1325,8.85,0.0881,-104.67,-1.0444
ascenty-hortolandia,2021,3,solo_exposto_obras,584.37,637.55,435.42,53.18,0.5294,-202.13,-2.0132,-148.95,-1.4839
ascenty-hortolandia,2021,4,construida_urbana,4159.44,4589.59,4784.4,430.15,4.2821,194.81,1.9403,624.96,6.2224
ascenty-hortolandia,2021,5,agua,202.86,67.14,53.1,-135.72,-1.3519,-14.04,-0.1398,-149.76,-1.4917
ascenty-jundiai,2019,1,vegetacao_densa,5184.27,4906.81,4956.93,-277.46,-2.8103,50.12,0.4992,-227.34,-2.3111
ascenty-jundiai,2019,2,vegetacao_rala,2766.42,2678.61,2654.19,-87.81,-0.8996,-24.42,-0.2432,-112.23,-1.1428
ascenty-jundiai,2019,3,solo_exposto_obras,468.63,411.74,314.01,-56.89,-0.5709,-97.73,-0.9734,-154.62,-1.5443
ascenty-jundiai,2019,4,construida_urbana,1435.68,1925.36,2018.34,489.68,4.8643,92.98,0.9261,582.66,5.7904
ascenty-jundiai,2019,5,agua,175.95,117.52,96.57,-58.43,-0.5836,-20.95,-0.2087,-79.38,-0.7922
ascenty-jundiai,2020,1,vegetacao_densa,5081.49,4520.65,4567.95,-560.84,-5.636,47.3,0.4711,-513.54,-5.1649
ascenty-jundiai,2020,2,vegetacao_rala,2829.06,2968.64,2963.79,139.58,1.3624,-4.85,-0.0483,134.73,1.3141
ascenty-jundiai,2020,3,solo_exposto_obras,489.24,472.13,357.57,-17.11,-0.1752,-114.56,-1.141,-131.67,-1.3163
ascenty-jundiai,2020,4,construida_urbana,1367.28,1963.63,2056.23,596.35,5.9263,92.6,0.9223,688.95,6.8486
ascenty-jundiai,2020,5,agua,263.07,114.99,94.5,-148.08,-1.4775,-20.49,-0.2041,-168.57,-1.6816
ascenty-jundiai,2021,1,vegetacao_densa,4305.96,4299.98,4337.91,-5.98,-0.0665,37.93,0.3778,31.95,0.3113
ascenty-jundiai,2021,2,vegetacao_rala,3431.07,3116.62,3116.25,-314.45,-3.1375,-0.37,-0.0037,-314.82,-3.1412
ascenty-jundiai,2021,3,solo_exposto_obras,622.26,505.37,380.97,-116.89,-1.1652,-124.4,-1.239,-241.29,-2.4043
ascenty-jundiai,2021,4,construida_urbana,1474.65,2017.19,2120.4,542.54,5.4014,103.21,1.028,645.75,6.4294
ascenty-jundiai,2021,5,agua,204.48,100.88,84.51,-103.6,-1.0322,-16.37,-0.163,-119.97,-1.1952
ascenty-maracanau,2019,1,vegetacao_densa,2766.51,1928.9,1964.97,-837.61,-8.3744,36.07,0.3582,-801.54,-8.0162
ascenty-maracanau,2019,2,vegetacao_rala,3022.74,1722.65,1612.8,-1300.09,-12.9722,-109.85,-1.0909,-1409.94,-14.0631
ascenty-maracanau,2019,3,solo_exposto_obras,394.11,360.12,207.09,-33.99,-0.3456,-153.03,-1.5196,-187.02,-1.8652
ascenty-maracanau,2019,4,construida_urbana,3502.44,5729.05,5961.24,2226.61,22.0395,232.19,2.3057,2458.8,24.3452
ascenty-maracanau,2019,5,agua,363.6,329.38,324.0,-34.22,-0.3473,-5.38,-0.0534,-39.6,-0.4007
ascenty-maracanau,2020,1,vegetacao_densa,2502.81,1598.29,1611.54,-904.52,-8.9853,13.25,0.1316,-891.27,-8.8538
ascenty-maracanau,2020,2,vegetacao_rala,2668.86,1888.77,1819.8,-780.09,-7.7499,-68.97,-0.6849,-849.06,-8.4348
ascenty-maracanau,2020,3,solo_exposto_obras,456.93,466.09,296.01,9.16,0.0904,-170.08,-1.689,-160.92,-1.5986
ascenty-maracanau,2020,4,construida_urbana,4105.26,5795.58,6024.69,1690.32,16.7804,229.11,2.2752,1919.43,19.0556
ascenty-maracanau,2020,5,agua,334.98,321.37,318.06,-13.61,-0.1356,-3.31,-0.0329,-16.92,-0.1684
ascenty-maracanau,2021,1,vegetacao_densa,2224.8,1561.73,1574.82,-663.07,-6.5867,13.09,0.13,-649.98,-6.4567
ascenty-maracanau,2021,2,vegetacao_rala,2728.71,1828.03,1753.2,-900.68,-8.9467,-74.83,-0.7431,-975.51,-9.6899
ascenty-maracanau,2021,3,solo_exposto_obras,613.08,625.19,422.19,12.11,0.1197,-203.0,-2.0159,-190.89,-1.8962
