slug,nome,regiao,operadora_link,operadora_nome,cidade,endereco,latitude,longitude,listingtype,capacitytype,url
3rd-cta-sao-paulo-data-center,Data Center Marechal Rondon,sao-paulo,brazilian-army,Brazilian Army,Sao Paulo,"R. da Independencia, 632 ",-23.5701367,-46.6167762,Facility,Government,https://www.datacentermap.com/brazil/sao-paulo/3rd-cta-sao-paulo-data-center/
ada-rio-de-janeiro,ADA Rio de Janeiro,rio-de-janeiro,ada-infrastructure,Ada Infrastructure,Duque de Caxias,Rua Oliveira Roxo,-22.70650052424456,-43.23743247257072,Campus,Colocation,https://www.datacentermap.com/brazil/rio-de-janeiro/ada-rio-de-janeiro/
ada-sao-paulo,ADA Sao Paulo,sao-paulo,ada-infrastructure,Ada Infrastructure,Sao Paulo,"Av. Brig. Faria Lima, 3930",-23.5902486,-46.6818551,Campus,Colocation,https://www.datacentermap.com/brazil/sao-paulo/ada-sao-paulo/
adentro,Adentro DC Porto Alegre,porto-alegre,adentro-data-center-solutions-ltda,ADENTRO DATA CENTER SOLUTIONS LTDA,Porto Alegre,"Av. Bahia, 1258",-30.0134047,-51.2010249,Facility,Colocation,https://www.datacentermap.com/brazil/porto-alegre/adentro/
algar-tech-uberlandia,Algar Tech Uberlandia - Jaraguá,uberlandia,algar-technologia-bpo,Algar Tech,Uberlandia,"Rua Janaúba, 145",-18.9209149,-48.3090492,Facility,Colocation,https://www.datacentermap.com/brazil/uberlandia/algar-tech-uberlandia/
algar-tecnologia,Algar Tech Uberlandia - Granja Marileusa,uberlandia,algar-technologia-bpo,Algar Tech,Uberlandia,"Av. Floriano Peixoto, 6500",-18.8725131,-48.2451629,Facility,Colocation,https://www.datacentermap.com/brazil/uberlandia/algar-tecnologia/
aligned-rj-01,ODATA RJ01,rio-de-janeiro,odata-an-aligned-data-centers-company,"ODATA, an Aligned Data Centers Company",São João de Meriti,"Rod. Pres. Dutra, 4648",-22.7966834,-43.3572998,Facility,Colocation,https://www.datacentermap.com/brazil/rio-de-janeiro/aligned-rj-01/
aligned-sp-01,ODATA SP01,sao-paulo,odata-an-aligned-data-centers-company,"ODATA, an Aligned Data Centers Company","Votuparim, Santana de Parnaíba","39,2, Estr. dos Romeiros, 943",-23.4550357423391,-46.91510647119536,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/aligned-sp-01/
aligned-sp-02,ODATA SP02 Campus,sao-paulo,odata-an-aligned-data-centers-company,"ODATA, an Aligned Data Centers Company","Chácaras Assay, Hortolândia","R. José Blumer, 150",-22.9008002,-47.1935167,Campus,Colocation,https://www.datacentermap.com/brazil/sao-paulo/aligned-sp-02/
aligned-sp-03,ODATA SP03,sao-paulo,odata-an-aligned-data-centers-company,"ODATA, an Aligned Data Centers Company","Tamboré, Barueri","Alameda Araguacema, 187",-23.502083727189984,-46.82507025582267,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/aligned-sp-03/
angonap-fortaleza,AngoNAP Fortaleza,fortaleza,angola-cables,Angola Cables,Fortaleza,"Av. Trajano de Medeiros, 1851 - Vicente Pinzon",-3.735294671531065,-38.46167526644695,Facility,Colocation,https://www.datacentermap.com/brazil/fortaleza/angonap-fortaleza/
armazem-dc-brusque,Armazem DC Brusque,blumenau,armazem-cloud,Armazém Cloud,Brusque,"R. Atílio Battistoti, 199 - Azambuja",-27.1076999,-48.9186753,Facility,Colocation,https://www.datacentermap.com/brazil/blumenau/armazem-dc-brusque/
armazem-dc-joinville,Armazem DC Joinville,joinville,armazem-cloud,Armazém Cloud,Joinville,"R. Dona Francisca, 8300 - Distrito Industrial Norte",-26.2426531,-48.8834796,Facility,Colocation,https://www.datacentermap.com/brazil/joinville/armazem-dc-joinville/
