site_id,tier,regiao,bioma,sensor,ano,n_imagens_usadas,pct_pixels_validos,tamanho_mb,status
angonap-fortaleza,1,Nordeste,Caatinga,landsat,2013,20,100.0,0.91,ok
angonap-fortaleza,1,Nordeste,Caatinga,landsat,2014,22,99.9991,0.911,ok
angonap-fortaleza,1,Nordeste,Caatinga,landsat,2015,22,99.2685,0.921,ok
angonap-fortaleza,1,Nordeste,Caatinga,landsat,2016,19,99.9991,0.913,ok
angonap-fortaleza,1,Nordeste,Caatinga,landsat,2017,21,99.9848,0.929,ok
angonap-fortaleza,1,Nordeste,Caatinga,landsat,2018,13,99.9982,0.92,ok
angonap-fortaleza,1,Nordeste,Caatinga,landsat,2019,18,100.0,0.902,ok
angonap-fortaleza,1,Nordeste,Caatinga,landsat,2020,20,99.9991,0.913,ok
angonap-fortaleza,1,Nordeste,Caatinga,landsat,2021,21,100.0,0.914,ok
angonap-fortaleza,1,Nordeste,Caatinga,sentinel2,2019,48,100.0,6.663,ok
angonap-fortaleza,1,Nordeste,Caatinga,sentinel2,2020,50,100.0,6.633,ok
angonap-fortaleza,1,Nordeste,Caatinga,sentinel2,2021,48,100.0,6.671,ok
angonap-fortaleza,1,Nordeste,Caatinga,sentinel2,2022,50,100.0,6.675,ok
angonap-fortaleza,1,Nordeste,Caatinga,sentinel2,2023,50,100.0,6.658,ok
angonap-fortaleza,1,Nordeste,Caatinga,sentinel2,2024,50,100.0,6.621,ok
angonap-fortaleza,1,Nordeste,Caatinga,sentinel2,2025,74,100.0,6.714,ok
ascenty-hortolandia,1,Sudeste,Mata Atlântica,landsat,2013,12,99.9785,0.969,ok
ascenty-hortolandia,1,Sudeste,Mata Atlântica,landsat,2014,14,99.8736,0.978,ok
ascenty-hortolandia,1,Sudeste,Mata Atlântica,landsat,2015,15,99.9839,0.972,ok
ascenty-hortolandia,1,Sudeste,Mata Atlântica,landsat,2016,14,99.9946,0.97,ok
ascenty-hortolandia,1,Sudeste,Mata Atlântica,landsat,2017,14,100.0,0.975,ok
ascenty-hortolandia,1,Sudeste,Mata Atlântica,landsat,2018,13,99.9973,0.975,ok
ascenty-hortolandia,1,Sudeste,Mata Atlântica,landsat,2019,14,99.9928,0.974,ok
ascenty-hortolandia,1,Sudeste,Mata Atlântica,landsat,2020,14,99.9991,0.975,ok
ascenty-hortolandia,1,Sudeste,Mata Atlântica,landsat,2021,13,99.9946,0.972,ok
ascenty-hortolandia,1,Sudeste,Mata Atlântica,sentinel2,2019,98,100.0,8.217,ok
ascenty-hortolandia,1,Sudeste,Mata Atlântica,sentinel2,2020,96,100.0,8.192,ok
ascenty-hortolandia,1,Sudeste,Mata Atlântica,sentinel2,2021,96,100.0,8.166,ok
ascenty-hortolandia,1,Sudeste,Mata Atlântica,sentinel2,2022,96,100.0,8.167,ok
ascenty-hortolandia,1,Sudeste,Mata Atlântica,sentinel2,2023,98,100.0,8.104,ok
ascenty-hortolandia,1,Sudeste,Mata Atlântica,sentinel2,2024,96,100.0,8.137,ok
ascenty-hortolandia,1,Sudeste,Mata Atlântica,sentinel2,2025,116,100.0,8.26,ok
ascenty-maracanau,1,Nordeste,Caatinga,landsat,2013,14,99.8919,1.006,ok
ascenty-maracanau,1,Nordeste,Caatinga,landsat,2014,16,99.7229,1.002,ok
ascenty-maracanau,1,Nordeste,Caatinga,landsat,2015,16,99.7649,1.004,ok
ascenty-maracanau,1,Nordeste,Caatinga,landsat,2016,16,99.9991,1.002,ok
ascenty-maracanau,1,Nordeste,Caatinga,landsat,2017,16,99.9973,1.004,ok
ascenty-maracanau,1,Nordeste,Caatinga,landsat,2018,13,99.6273,1.001,ok
ascenty-maracanau,1,Nordeste,Caatinga,landsat,2019,14,99.7944,1.003,ok
ascenty-maracanau,1,Nordeste,Caatinga,landsat,2020,16,99.9875,1.003,ok
ascenty-maracanau,1,Nordeste,Caatinga,landsat,2021,16,99.9902,1.004,ok
ascenty-maracanau,1,Nordeste,Caatinga,sentinel2,2019,24,100.0,7.171,ok
ascenty-maracanau,1,Nordeste,Caatinga,sentinel2,2020,25,100.0,7.198,ok
ascenty-maracanau,1,Nordeste,Caatinga,sentinel2,2021,24,100.0,7.244,ok
ascenty-maracanau,1,Nordeste,Caatinga,sentinel2,2022,25,100.0,7.188,ok
ascenty-maracanau,1,Nordeste,Caatinga,sentinel2,2023,25,100.0,7.248,ok
ascenty-maracanau,1,Nordeste,Caatinga,sentinel2,2024,25,100.0,7.221,ok
ascenty-maracanau,1,Nordeste,Caatinga,sentinel2,2025,37,100.0,7.3,ok
ascenty-osasco,1,Sudeste,Mata Atlântica,landsat,2013,7,99.8838,0.98,ok
ascenty-osasco,1,Sudeste,Mata Atlântica,landsat,2014,7,99.4584,0.981,ok
ascenty-osasco,1,Sudeste,Mata Atlântica,landsat,2015,7,99.9982,0.982,ok
ascenty-osasco,1,Sudeste,Mata Atlântica,landsat,2016,8,99.6532,0.985,ok
ascenty-osasco,1,Sudeste,Mata Atlântica,landsat,2017,8,99.9964,0.982,ok
ascenty-osasco,1,Sudeste,Mata Atlântica,landsat,2018,6,99.9946,0.989,ok
ascenty-osasco,1,Sudeste,Mata Atlântica,landsat,2019,7,100.0,0.989,ok
ascenty-osasco,1,Sudeste,Mata Atlântica,landsat,2020,6,99.8195,0.982,ok
ascenty-osasco,1,Sudeste,Mata Atlântica,landsat,2021,7,99.9973,0.99,ok
ascenty-osasco,1,Sudeste,Mata Atlântica,sentinel2,2019,54,100.0,6.933,ok
ascenty-osasco,1,Sudeste,Mata Atlântica,sentinel2,2020,48,100.0,6.878,ok
ascenty-osasco,1,Sudeste,Mata Atlântica,sentinel2,2021,48,100.0,6.945,ok
ascenty-osasco,1,Sudeste,Mata Atlântica,sentinel2,2022,48,100.0,6.938,ok
ascenty-osasco,1,Sudeste,Mata Atlântica,sentinel2,2023,48,100.0,6.92,ok
ascenty-osasco,1,Sudeste,Mata Atlântica,sentinel2,2024,50,100.0,6.877,ok
ascenty-osasco,1,Sudeste,Mata Atlântica,sentinel2,2025,57,100.0,7.018,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,landsat,2013,12,99.9973,0.967,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,landsat,2014,14,99.9937,0.973,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,landsat,2015,15,100.0,0.966,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,landsat,2016,14,100.0,0.967,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,landsat,2017,14,100.0,0.97,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,landsat,2018,13,100.0,0.968,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,landsat,2019,14,99.9991,0.968,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,landsat,2020,14,100.0,0.969,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,landsat,2021,13,100.0,0.968,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,sentinel2,2019,98,100.0,8.159,ok
ascenty-sumare,1,Sudeste,Mata Atlântica,sentinel2,2020,96,100.0,8.184,ok
