cnpj_distribuidora,ano,sigla_distribuidora,consumo_kwh
1229747000189,2010,CERGAPA,14586205.0
1229747000189,2011,CERGAPA,21170832.0
1229747000189,2012,CERGAPA,20953196.0
1229747000189,2013,CERGAPA,21308298.0
1229747000189,2014,CERGAPA,23975480.0
1229747000189,2015,CERGAPA,25023673.0
1229747000189,2016,CERGAPA,26278802.0
1229747000189,2017,CERGAPA,29038443.0
1229747000189,2018,CERGAPA,30462064.0
1229747000189,2019,CERGAPA,31279177.0
1229747000189,2020,CERGAPA,31630908.0
1229747000189,2021,CERGAPA,30428647.0
1229747000189,2022,CERGAPA,28550383.0
1229747000189,2023,CERGAPA,29542912.0
1377555000110,2010,CHESP,89284780.0
1377555000110,2011,CHESP,94129611.0
1377555000110,2012,CHESP,102049222.0
1377555000110,2013,CHESP,108133265.0
1377555000110,2014,CHESP,114877343.0
1377555000110,2015,CHESP,116182195.0
1377555000110,2016,CHESP,115840239.0
1377555000110,2017,CHESP,117471492.0
1377555000110,2018,CHESP,120288009.0
1377555000110,2019,CHESP,125132991.0
1377555000110,2020,CHESP,127477000.0
1377555000110,2021,CHESP,125776712.0
1377555000110,2022,CHESP,125315320.0
1377555000110,2023,CHESP,127325514.0
1543032000104,2010,EQUATORIAL GO,10147828739.0
1543032000104,2011,EQUATORIAL GO,10510500954.0
1543032000104,2012,EQUATORIAL GO,11228704877.0
1543032000104,2013,EQUATORIAL GO,11964654132.05
1543032000104,2014,EQUATORIAL GO,12623071235.0
1543032000104,2015,EQUATORIAL GO,12970085117.0
1543032000104,2016,EQUATORIAL GO,12901169842.855
1543032000104,2017,EQUATORIAL GO,13361186273.48
1543032000104,2018,EQUATORIAL GO,13742868046.0
1543032000104,2019,EQUATORIAL GO,14199059763.0
1543032000104,2020,EQUATORIAL GO,14158743857.0
1543032000104,2021,EQUATORIAL GO,14072833552.0
1543032000104,2022,EQUATORIAL GO,14490604565.0
1543032000104,2023,EQUATORIAL GO,14857838107.0
2016439000138,2010,RGE,7847700936.0
2016439000138,2011,RGE,8017437277.0
2016439000138,2012,RGE,8148822108.0
2016439000138,2013,RGE,8707447453.0
2016439000138,2014,RGE,9072776685.0
2016439000138,2015,RGE,8653828024.0
2016439000138,2016,RGE,8664848210.0
2016439000138,2017,RGE,8938561067.0
2016439000138,2018,RGE,9196348638.0
2016439000138,2019,RGE,3835172015.0
2016440000162,2010,RGE SUL,7907768912.0
2016440000162,2011,RGE SUL,8092158159.0
2016440000162,2012,RGE SUL,8353113278.0
2016440000162,2013,RGE SUL,8475116968.0
2016440000162,2014,RGE SUL,8992235041.0
2016440000162,2015,RGE SUL,8315455609.0
2016440000162,2016,RGE SUL,8244693956.0
2016440000162,2017,RGE SUL,8370281363.0
2016440000162,2018,RGE SUL,8723978279.0
2016440000162,2019,RGE SUL,13920075310.0
2016440000162,2020,RGE SUL,16951703481.0
2016440000162,2021,RGE SUL,17407319466.0
2016440000162,2022,RGE SUL,17211395749.0
2016440000162,2023,RGE SUL,16894456518.0
2302100000106,2010,EDP SP,18021903572.0
2302100000106,2011,EDP SP,14436920358.0
2302100000106,2012,EDP SP,14527834689.0
2302100000106,2013,EDP SP,15165337819.0
2302100000106,2014,EDP SP,15327078194.0
2302100000106,2015,EDP SP,14488185746.0
2302100000106,2016,EDP SP,14171362392.0
2302100000106,2017,EDP SP,14543916336.0
2302100000106,2018,EDP SP,14901515975.0
2302100000106,2019,EDP SP,15020723071.0
2302100000106,2020,EDP SP,14355874629.0
2302100000106,2021,EDP SP,15125772055.0
2302100000106,2022,EDP SP,15506063540.0
2302100000106,2023,EDP SP,15689157326.0
2328280000197,2010,ELEKTRO,15130560920.0
2328280000197,2011,ELEKTRO,15693513626.17
2328280000197,2012,ELEKTRO,16175860495.0
2328280000197,2013,ELEKTRO,16954411251.0
2328280000197,2014,ELEKTRO,19409227065.0
2328280000197,2015,ELEKTRO,17422892152.0
2328280000197,2016,ELEKTRO,16101698550.0
2328280000197,2017,ELEKTRO,16811650228.0
2328280000197,2018,ELEKTRO,17225059276.0
2328280000197,2019,ELEKTRO,17753270908.0
2328280000197,2020,ELEKTRO,17448060101.0
2328280000197,2021,ELEKTRO,18876077910.0
2328280000197,2022,ELEKTRO,18447486392.0
2328280000197,2023,ELEKTRO,18358802178.0
2341467000120,2015,Âmbar Amazonas,3588661038.0
2341467000120,2016,Âmbar Amazonas,4859682313.0
2341467000120,2017,Âmbar Amazonas,4649656576.0
2341467000120,2018,Âmbar Amazonas,4725327461.0
2341467000120,2019,Âmbar Amazonas,5048288690.0
2341467000120,2020,Âmbar Amazonas,5148593496.0
2341467000120,2021,Âmbar Amazonas,5178957919.0
2341467000120,2022,Âmbar Amazonas,5391415761.0
2341467000120,2023,Âmbar Amazonas,5734144057.0
3467321000199,2010,EMT,5784630388.0
3467321000199,2011,EMT,6193344036.0
3467321000199,2012,EMT,6837903294.0
3467321000199,2013,EMT,7430280461.0
3467321000199,2014,EMT,7984571562.0
3467321000199,2015,EMT,8131782821.0
3467321000199,2016,EMT,8020383342.0
3467321000199,2017,EMT,8511695294.0
3467321000199,2018,EMT,8784989209.0
3467321000199,2019,EMT,9283115222.0
3467321000199,2020,EMT,9411143104.0
3467321000199,2021,EMT,9215726903.0
3467321000199,2022,EMT,9280759585.0
3467321000199,2023,EMT,9444945812.0
4065033000170,2011,EAC,400984121.0
4065033000170,2012,EAC,690712111.0
4065033000170,2013,EAC,704519868.591
4065033000170,2014,EAC,737889205.0
4065033000170,2015,EAC,777211372.0
4065033000170,2016,EAC,780951550.0
4065033000170,2017,EAC,811399400.0
4065033000170,2018,EAC,850223543.0
4065033000170,2019,EAC,885644905.0
4065033000170,2020,EAC,881753448.0
4065033000170,2021,EAC,883300310.0
4065033000170,2022,EAC,905047238.0
4065033000170,2023,EAC,965635025.0
4172213000151,2010,CPFL-PIRATINING,14017716597.0
4172213000151,2011,CPFL-PIRATINING,14618491097.0
4172213000151,2012,CPFL-PIRATINING,15193135328.0
4172213000151,2013,CPFL-PIRATINING,15497833827.0
4172213000151,2014,CPFL-PIRATINING,15463386895.0
4172213000151,2015,CPFL-PIRATINING,14763878369.0
4172213000151,2016,CPFL-PIRATINING,13436587239.0
4172213000151,2017,CPFL-PIRATINING,13653229038.0
4172213000151,2018,CPFL-PIRATINING,14064297247.0
4172213000151,2019,CPFL-PIRATINING,13960696701.0
4172213000151,2020,CPFL-PIRATINING,13689069567.0
4172213000151,2021,CPFL-PIRATINING,14605806634.0
4172213000151,2022,CPFL-PIRATINING,14720559939.0
4172213000151,2023,CPFL-PIRATINING,15033572089.0
4368898000106,2010,COPEL-DIS,24529534309.0
4368898000106,2011,COPEL-DIS,25933969418.0
4368898000106,2012,COPEL-DIS,28277013318.0
4368898000106,2013,COPEL-DIS,27760380879.0
4368898000106,2014,COPEL-DIS,29237942977.0
4368898000106,2015,COPEL-DIS,29379535371.0
4368898000106,2016,COPEL-DIS,29567565019.0
4368898000106,2017,COPEL-DIS,30039776743.0
4368898000106,2018,COPEL-DIS,29919582599.0
4368898000106,2019,COPEL-DIS,30871422735.0
4368898000106,2020,COPEL-DIS,30300418368.0
4368898000106,2021,COPEL-DIS,30835304221.0
4368898000106,2022,COPEL-DIS,30649790028.0
4368898000106,2023,COPEL-DIS,30687885114.0
4895728000180,2010,EQUATORIAL PA,6498850595.0
4895728000180,2011,EQUATORIAL PA,6314518938.0
4895728000180,2012,EQUATORIAL PA,6566052502.0
4895728000180,2013,EQUATORIAL PA,7179185883.0
4895728000180,2014,EQUATORIAL PA,8159704982.0
4895728000180,2015,EQUATORIAL PA,8400901691.0
4895728000180,2016,EQUATORIAL PA,9255751845.0
4895728000180,2017,EQUATORIAL PA,9888287207.0
4895728000180,2018,EQUATORIAL PA,8689110372.0
4895728000180,2019,EQUATORIAL PA,8689486230.0
4895728000180,2020,EQUATORIAL PA,8761963237.0
4895728000180,2021,EQUATORIAL PA,8935317377.0
4895728000180,2022,EQUATORIAL PA,11763615301.0
4895728000180,2023,EQUATORIAL PA,9558792541.0
5914650000166,2010,ERO,1572374611.0
5914650000166,2011,ERO,2214096608.0
5914650000166,2012,ERO,2548700359.0
5914650000166,2013,ERO,2644536446.0
5914650000166,2014,ERO,2875496040.0
5914650000166,2015,ERO,2800742460.0
5914650000166,2016,ERO,2721333883.0
5914650000166,2017,ERO,2817501768.0
5914650000166,2018,ERO,2901578462.0
5914650000166,2019,ERO,2975565814.0
5914650000166,2020,ERO,3072901329.0
5914650000166,2021,ERO,3083485334.0
5914650000166,2022,ERO,3234165553.0
5914650000166,2023,ERO,3386231748.0
5965546000109,2020,CEA,266629.0
5965546000109,2021,CEA,95967171.0
5965546000109,2022,CEA,1145271399.0
5965546000109,2023,CEA,1273751124.0
6272793000184,2010,EQUATORIAL MA,4248013459.0
6272793000184,2011,EQUATORIAL MA,4503432570.0
6272793000184,2012,EQUATORIAL MA,4984866961.0
6272793000184,2013,EQUATORIAL MA,5492309488.0
6272793000184,2014,EQUATORIAL MA,5849189013.0
6272793000184,2015,EQUATORIAL MA,6036637186.0
6272793000184,2016,EQUATORIAL MA,6881457284.0
6272793000184,2017,EQUATORIAL MA,6390327135.0
6272793000184,2018,EQUATORIAL MA,6475931724.0
6272793000184,2019,EQUATORIAL MA,6523892162.0
6272793000184,2020,EQUATORIAL MA,6799162151.0
6272793000184,2021,EQUATORIAL MA,6871990359.0
6272793000184,2022,EQUATORIAL MA,7004873778.0
6272793000184,2023,EQUATORIAL MA,7476703424.0
6840748000189,2010,EQUATORIAL PI,2242921702.0
6840748000189,2011,EQUATORIAL PI,2321241967.0
6840748000189,2012,EQUATORIAL PI,2702937670.0
6840748000189,2013,EQUATORIAL PI,2938133715.0
6840748000189,2014,EQUATORIAL PI,3124781359.0
6840748000189,2015,EQUATORIAL PI,3264552237.0
6840748000189,2016,EQUATORIAL PI,3212142909.0
6840748000189,2017,EQUATORIAL PI,3530027710.0
6840748000189,2018,EQUATORIAL PI,3572735470.0
6840748000189,2019,EQUATORIAL PI,3640479360.0
6840748000189,2020,EQUATORIAL PI,3626026623.0
6840748000189,2021,EQUATORIAL PI,3750149079.0
6840748000189,2022,EQUATORIAL PI,3649404681.0
6840748000189,2023,EQUATORIAL PI,3840510617.0
6981180000116,2010,CEMIG-D,42204576518.0
6981180000116,2011,CEMIG-D,44530441224.0
6981180000116,2012,CEMIG-D,44430417334.0
6981180000116,2013,CEMIG-D,45127159412.0
6981180000116,2014,CEMIG-D,44167285700.0
6981180000116,2015,CEMIG-D,41813312894.0
6981180000116,2016,CEMIG-D,43174004054.0
6981180000116,2017,CEMIG-D,42508442980.0
6981180000116,2018,CEMIG-D,44057950757.0
6981180000116,2019,CEMIG-D,44384040229.0
6981180000116,2020,CEMIG-D,43671884697.0
6981180000116,2021,CEMIG-D,45783764053.0
6981180000116,2022,CEMIG-D,45391518056.0
6981180000116,2023,CEMIG-D,46098632526.0
7047251000170,2010,ENEL CE,8868604235.0
7047251000170,2011,ENEL CE,9065598310.0
7047251000170,2012,ENEL CE,9927251885.0
7047251000170,2013,ENEL CE,10705370642.0
7047251000170,2014,ENEL CE,11321457116.0
7047251000170,2015,ENEL CE,11405157611.0
7047251000170,2016,ENEL CE,11649310064.0
7047251000170,2017,ENEL CE,11488478812.0
7047251000170,2018,ENEL CE,11820221283.0
7047251000170,2019,ENEL CE,12014006570.0
7047251000170,2020,ENEL CE,11902956428.0
7047251000170,2021,ENEL CE,12659264987.0
7047251000170,2022,ENEL CE,12447048801.0
7047251000170,2023,ENEL CE,14829001741.0
7282377000120,2010,ESS,1031836251.0
7282377000120,2011,ESS,1049250232.0
