id_municipio,municipio,uf,cnpj_distribuidora,sigla_distribuidora
1200013,Acrelândia,AC,4065033000170,EAC
1200054,Assis Brasil,AC,4065033000170,EAC
1200104,Brasiléia,AC,4065033000170,EAC
1200138,Bujari,AC,4065033000170,EAC
1200179,Capixaba,AC,4065033000170,EAC
1200203,Cruzeiro do Sul,AC,4065033000170,EAC
1200252,Epitaciolândia,AC,4065033000170,EAC
1200302,Feijó,AC,4065033000170,EAC
1200328,Jordão,AC,4065033000170,EAC
1200344,Manoel Urbano,AC,4065033000170,EAC
1200351,Marechal Thaumaturgo,AC,4065033000170,EAC
1200336,Mâncio Lima,AC,4065033000170,EAC
1200385,Plácido de Castro,AC,4065033000170,EAC
1200807,Porto Acre,AC,4065033000170,EAC
1200393,Porto Walter,AC,4065033000170,EAC
1200401,Rio Branco,AC,4065033000170,EAC
1200427,Rodrigues Alves,AC,4065033000170,EAC
1200435,Santa Rosa do Purus,AC,4065033000170,EAC
1200500,Sena Madureira,AC,4065033000170,EAC
1200450,Senador Guiomard,AC,4065033000170,EAC
1200609,Tarauacá,AC,4065033000170,EAC
1200708,Xapuri,AC,4065033000170,EAC
2700201,Anadia,AL,12272084000100,EQUATORIAL AL
2700300,Arapiraca,AL,12272084000100,EQUATORIAL AL
2700409,Atalaia,AL,12272084000100,EQUATORIAL AL
2700508,Barra de Santo Antônio,AL,12272084000100,EQUATORIAL AL
2700607,Barra de São Miguel,AL,12272084000100,EQUATORIAL AL
2700706,Batalha,AL,12272084000100,EQUATORIAL AL
2700904,Belo Monte,AL,12272084000100,EQUATORIAL AL
2700805,Belém,AL,12272084000100,EQUATORIAL AL
2701001,Boca da Mata,AL,12272084000100,EQUATORIAL AL
2701100,Branquinha,AL,12272084000100,EQUATORIAL AL
2701209,Cacimbinhas,AL,12272084000100,EQUATORIAL AL
2701308,Cajueiro,AL,12272084000100,EQUATORIAL AL
2701357,Campestre,AL,12272084000100,EQUATORIAL AL
2701407,Campo Alegre,AL,12272084000100,EQUATORIAL AL
2701506,Campo Grande,AL,12272084000100,EQUATORIAL AL
2701605,Canapi,AL,12272084000100,EQUATORIAL AL
2701704,Capela,AL,12272084000100,EQUATORIAL AL
2701803,Carneiros,AL,12272084000100,EQUATORIAL AL
2701902,Chã Preta,AL,12272084000100,EQUATORIAL AL
2702009,Coité do Nóia,AL,12272084000100,EQUATORIAL AL
2702108,Colônia Leopoldina,AL,12272084000100,EQUATORIAL AL
2702207,Coqueiro Seco,AL,12272084000100,EQUATORIAL AL
2702306,Coruripe,AL,12272084000100,EQUATORIAL AL
2702355,Craíbas,AL,12272084000100,EQUATORIAL AL
2702405,Delmiro Gouveia,AL,12272084000100,EQUATORIAL AL
2702504,Dois Riachos,AL,12272084000100,EQUATORIAL AL
2702553,Estrela de Alagoas,AL,12272084000100,EQUATORIAL AL
2702603,Feira Grande,AL,12272084000100,EQUATORIAL AL
2702702,Feliz Deserto,AL,12272084000100,EQUATORIAL AL
2702801,Flexeiras,AL,12272084000100,EQUATORIAL AL
2702900,Girau do Ponciano,AL,12272084000100,EQUATORIAL AL
2703007,Ibateguara,AL,12272084000100,EQUATORIAL AL
2703106,Igaci,AL,12272084000100,EQUATORIAL AL
2703205,Igreja Nova,AL,12272084000100,EQUATORIAL AL
2703304,Inhapi,AL,12272084000100,EQUATORIAL AL
2703403,Jacaré dos Homens,AL,12272084000100,EQUATORIAL AL
2703502,Jacuípe,AL,12272084000100,EQUATORIAL AL
2703601,Japaratinga,AL,12272084000100,EQUATORIAL AL
2703700,Jaramataia,AL,12272084000100,EQUATORIAL AL
2703759,Jequiá da Praia,AL,12272084000100,EQUATORIAL AL
2703809,Joaquim Gomes,AL,12272084000100,EQUATORIAL AL
2703908,Jundiá,AL,12272084000100,EQUATORIAL AL
2704005,Junqueiro,AL,12272084000100,EQUATORIAL AL
2704104,Lagoa da Canoa,AL,12272084000100,EQUATORIAL AL
2704203,Limoeiro de Anadia,AL,12272084000100,EQUATORIAL AL
2704302,Maceió,AL,12272084000100,EQUATORIAL AL
2704401,Major Isidoro,AL,12272084000100,EQUATORIAL AL
2704906,Mar Vermelho,AL,12272084000100,EQUATORIAL AL
2704500,Maragogi,AL,12272084000100,EQUATORIAL AL
2704609,Maravilha,AL,12272084000100,EQUATORIAL AL
2704708,Marechal Deodoro,AL,12272084000100,EQUATORIAL AL
2704807,Maribondo,AL,12272084000100,EQUATORIAL AL
2705002,Mata Grande,AL,12272084000100,EQUATORIAL AL
2705101,Matriz de Camaragibe,AL,12272084000100,EQUATORIAL AL
2705200,Messias,AL,12272084000100,EQUATORIAL AL
2705309,Minador do Negrão,AL,12272084000100,EQUATORIAL AL
2705408,Monteirópolis,AL,12272084000100,EQUATORIAL AL
2705507,Murici,AL,12272084000100,EQUATORIAL AL
2705606,Novo Lino,AL,12272084000100,EQUATORIAL AL
2705903,Olho D'Água Grande,AL,12272084000100,EQUATORIAL AL
2705705,Olho D'Água das Flores,AL,12272084000100,EQUATORIAL AL
2705804,Olho D'Água do Casado,AL,12272084000100,EQUATORIAL AL
2706000,Olivença,AL,12272084000100,EQUATORIAL AL
2706109,Ouro Branco,AL,12272084000100,EQUATORIAL AL
2706208,Palestina,AL,12272084000100,EQUATORIAL AL
2706307,Palmeira dos Índios,AL,12272084000100,EQUATORIAL AL
2706422,Pariconha,AL,12272084000100,EQUATORIAL AL
