ano,mes,uf,nome_uf,regiao,tipo_consumo,consumo,numero_consumidores
2004,1,DF,Distrito Federal,Centro-Oeste,Cativo,296041,
2004,1,DF,Distrito Federal,Centro-Oeste,Comercial,93427,78547
2004,1,DF,Distrito Federal,Centro-Oeste,Industrial,29667,1752
2004,1,DF,Distrito Federal,Centro-Oeste,Outros,73881,11952
2004,1,DF,Distrito Federal,Centro-Oeste,Residencial,114484,570609
2004,1,DF,Distrito Federal,Centro-Oeste,Total,311459,
2004,2,DF,Distrito Federal,Centro-Oeste,Cativo,267122,
2004,2,DF,Distrito Federal,Centro-Oeste,Comercial,81618,78408
2004,2,DF,Distrito Federal,Centro-Oeste,Industrial,27953,1738
2004,2,DF,Distrito Federal,Centro-Oeste,Outros,70518,11930
2004,2,DF,Distrito Federal,Centro-Oeste,Residencial,105839,573696
2004,2,DF,Distrito Federal,Centro-Oeste,Total,285928,
2004,3,DF,Distrito Federal,Centro-Oeste,Cativo,281258,
2004,3,DF,Distrito Federal,Centro-Oeste,Comercial,84322,78603
2004,3,DF,Distrito Federal,Centro-Oeste,Industrial,28405,1748
2004,3,DF,Distrito Federal,Centro-Oeste,Outros,70051,12159
2004,3,DF,Distrito Federal,Centro-Oeste,Residencial,117675,579185
2004,3,DF,Distrito Federal,Centro-Oeste,Total,300453,
2004,4,DF,Distrito Federal,Centro-Oeste,Cativo,304543,
2004,4,DF,Distrito Federal,Centro-Oeste,Comercial,94761,78204
2004,4,DF,Distrito Federal,Centro-Oeste,Industrial,28698,1737
2004,4,DF,Distrito Federal,Centro-Oeste,Outros,81641,12124
2004,4,DF,Distrito Federal,Centro-Oeste,Residencial,117811,582270
2004,4,DF,Distrito Federal,Centro-Oeste,Total,322911,
2004,5,DF,Distrito Federal,Centro-Oeste,Cativo,299765,
2004,5,DF,Distrito Federal,Centro-Oeste,Comercial,90165,78453
2004,5,DF,Distrito Federal,Centro-Oeste,Industrial,25605,1723
2004,5,DF,Distrito Federal,Centro-Oeste,Outros,77278,12149
2004,5,DF,Distrito Federal,Centro-Oeste,Residencial,122461,587409
2004,5,DF,Distrito Federal,Centro-Oeste,Total,315509,
2004,6,DF,Distrito Federal,Centro-Oeste,Cativo,287913,
2004,6,DF,Distrito Federal,Centro-Oeste,Comercial,87778,78369
2004,6,DF,Distrito Federal,Centro-Oeste,Industrial,31751,1720
2004,6,DF,Distrito Federal,Centro-Oeste,Outros,78253,12225
2004,6,DF,Distrito Federal,Centro-Oeste,Residencial,111981,593779
2004,6,DF,Distrito Federal,Centro-Oeste,Total,309763,
2004,7,DF,Distrito Federal,Centro-Oeste,Cativo,296532,
2004,7,DF,Distrito Federal,Centro-Oeste,Comercial,87198,78057
